-0.078125,0.046143,0.992920,0.000000,0.000000.1,2.500000,0.000000.2,0.000000.3,0.000000.4
-0.046143,0.040283,0.995605,-0.487805,0.243902,1.829268,0.0,0.0,0.0
-0.071045,0.02002,1.0,0.182927,0.426829,1.463415,0.0,0.0,0.0
-0.075195,0.02002,1.00293,-0.243902,0.182927,1.52439,0.0,0.0,0.0
-0.03833,0.002197,1.020264,0.365854,0.304878,2.5,0.0,0.0,0.0
-0.048584,-0.005127,1.000244,-0.060976,0.243902,3.231707,0.0,0.0,0.0
-0.048096,0.016846,1.003906,0.243902,0.121951,4.02439,0.0,0.0,0.0
-0.054199,0.028809,1.005371,0.182927,-0.060976,3.841464,0.0,0.0,0.0
-0.038086,0.022705,1.003418,-0.121951,0.182927,4.573171,0.0,0.0,0.0
-0.088867,0.031982,1.005859,0.243902,0.060976,4.268293,0.0,0.0,0.0
-0.053955,0.026855,1.005371,-0.426829,-0.182927,4.207317,0.0,0.0,0.0
-0.040039,0.032227,1.014404,-0.487805,0.304878,5.121951,0.0,0.0,0.0
-0.075684,0.04126,1.012695,-0.365854,0.060976,3.536585,0.0,0.0,0.0
-0.059326,0.061523,0.991455,-0.731707,-0.121951,2.439024,0.0,0.0,0.0
-0.072754,0.047119,1.004883,-0.365854,-0.304878,1.646341,0.0,0.0,0.0
-0.118164,0.032471,1.009277,-0.670732,0.304878,0.426829,0.0,0.0,0.0
-0.128174,-0.014404,1.002441,0.0,0.365854,1.646341,0.0,0.0,0.0
-0.089844,0.025879,1.007812,0.121951,0.304878,3.353659,0.0,0.0,0.0
-0.089844,0.014893,1.000488,0.060976,0.548781,2.987805,0.0,0.0,0.0
-0.081299,0.015137,0.999023,0.182927,0.0,2.5,0.0,0.0,0.0
-0.071045,-0.034912,0.988525,-1.158537,0.853659,4.02439,0.0,0.0,0.0
-0.101807,-0.008301,1.009766,-0.365854,0.060976,5.365854,0.0,0.0,0.0
-0.083496,0.003906,0.993164,-0.365854,0.426829,6.158537,0.0,0.0,0.0
-0.083008,0.00293,1.020752,-0.121951,0.365854,6.646342,0.0,0.0,0.0
-0.029785,0.036865,0.989014,-0.426829,0.609756,5.609756,0.0,0.0,0.0
-0.043457,-0.013428,0.999512,-0.182927,0.243902,4.268293,0.0,0.0,0.0
-0.076172,0.022217,1.011963,-0.060976,0.365854,5.609756,0.0,0.0,0.0
-0.031494,0.002686,0.994385,-0.365854,-0.121951,3.04878,0.0,0.0,0.0
-0.028564,0.013916,1.018311,-0.609756,0.0,1.158537,0.0,0.0,0.0
-0.118408,0.002197,1.013428,-0.304878,-0.060976,-0.670732,0.0,0.0,0.0
-0.117188,-0.050293,0.999023,-0.670732,0.182927,-0.243902,0.0,0.0,0.0
-0.074219,-0.011963,1.016113,-0.609756,0.0,0.792683,0.0,0.0,0.0
-0.105957,0.005127,1.008789,-0.97561,0.060976,-0.426829,0.0,0.0,0.0
-0.064697,-0.038574,0.990479,-1.280488,-0.121951,-0.487805,0.0,0.0,0.0
-0.088379,-0.028564,0.992188,-0.548781,0.243902,1.341463,0.0,0.0,0.0
-0.087402,-0.008545,1.009521,0.182927,0.487805,2.926829,0.0,0.0,0.0
-0.165771,-0.020752,1.011475,-1.585366,0.670732,5.487805,0.0,0.0,0.0
-0.00708,-0.001465,1.019287,-1.097561,0.365854,8.292683,0.0,0.0,0.0
-0.192383,0.001953,1.003174,-1.52439,0.0,8.536586,0.0,0.0,0.0
-0.07251,-0.033203,1.015137,0.121951,-0.243902,9.390244,0.0,0.0,0.0
-0.072754,0.017578,1.023193,-0.243902,0.365854,12.195122,0.0,0.0,0.0
-0.109863,-0.009766,0.989746,-0.121951,0.609756,12.743903,0.0,0.0,0.0
-0.040771,-0.02124,1.026367,0.548781,0.426829,13.536586,0.0,0.0,0.0
-0.091797,0.009521,0.992676,1.402439,0.853659,14.634147,0.0,0.0,0.0
0.043701,0.033447,1.01123,2.012195,0.731707,15.487805,0.0,0.0,0.0
-0.191162,0.083252,0.996338,0.914634,0.0,14.817074,0.0,0.0,0.0
-0.041504,0.057129,1.009521,3.719512,0.487805,12.926829,0.0,0.0,0.0
0.042236,0.056885,1.002686,1.280488,0.670732,12.560976,0.0,0.0,0.0
-0.056885,0.056396,0.993896,1.097561,0.609756,7.926829,0.0,0.0,0.0
0.025146,0.001465,0.987305,-0.914634,0.304878,6.707317,0.0,0.0,0.0
-0.066895,-0.032959,1.009277,-4.45122,0.609756,7.256098,0.0,0.0,0.0
0.074951,-0.015137,1.0,-1.768293,0.487805,9.390244,0.0,0.0,0.0
-0.012451,0.009277,0.996582,-3.658537,0.548781,8.902439,0.0,0.0,0.0
0.058594,-0.009521,1.022705,-0.853659,0.182927,7.195122,0.0,0.0,0.0
0.030273,-0.039062,0.991943,-0.792683,0.0,8.231708,0.0,0.0,0.0
0.02832,-0.012207,0.999756,0.487805,0.609756,8.841464,0.0,0.0,0.0
-0.003418,0.01123,0.99707,1.646341,0.426829,9.146341,0.0,0.0,0.0
0.117676,0.032471,0.989746,-0.365854,0.365854,8.353659,0.0,0.0,0.0
0.01416,0.033691,0.986572,-0.426829,0.426829,6.280488,0.0,0.0,0.0
0.118652,-0.036621,1.020996,-1.280488,0.0,6.52439,0.0,0.0,0.0
0.085938,0.016113,1.033936,-0.304878,-0.426829,5.792683,0.0,0.0,0.0
0.105713,0.05957,1.011719,-1.829268,0.060976,3.47561,0.0,0.0,0.0
0.106689,0.039795,0.988525,-0.182927,-0.060976,0.853659,0.0,0.0,0.0
0.047363,-0.002686,0.996826,-0.97561,-0.548781,-1.890244,0.0,0.0,0.0
0.106445,-0.041992,0.993164,0.304878,0.121951,-1.280488,0.0,0.0,0.0
0.116943,-0.025635,0.988281,0.792683,-0.060976,-1.036585,0.0,0.0,0.0
0.055176,-0.019531,1.009766,-2.743902,-0.304878,-1.707317,0.0,0.0,0.0
0.118408,-0.06665,1.001953,-2.012195,-0.182927,-0.670732,0.0,0.0,0.0
0.090332,-0.021484,0.997803,-0.426829,-0.365854,0.426829,0.0,0.0,0.0
0.071777,-0.012695,0.99585,-2.439024,-0.304878,0.914634,0.0,0.0,0.0
0.131592,0.020752,1.011963,-0.182927,-0.731707,0.731707,0.0,0.0,0.0
0.121338,0.01123,0.999268,-0.792683,-0.609756,-0.548781,0.0,0.0,0.0
0.078613,0.000244,0.990479,0.243902,-0.365854,-0.792683,0.0,0.0,0.0
0.115723,0.009277,0.996338,0.182927,-0.304878,-0.182927,0.0,0.0,0.0
0.112793,0.007568,0.98877,0.182927,-0.060976,-1.158537,0.0,0.0,0.0
0.113037,0.001709,1.041992,-0.182927,-0.243902,-0.060976,0.0,0.0,0.0
0.118408,-0.005127,1.011963,-0.365854,0.243902,0.121951,0.0,0.0,0.0
0.107666,-0.004883,0.979004,-0.670732,-0.182927,0.792683,0.0,0.0,0.0
0.098145,-0.016113,1.003174,-0.304878,-0.365854,1.646341,0.0,0.0,0.0
0.126221,-0.006592,1.008057,-0.731707,-0.426829,3.47561,0.0,0.0,0.0
0.096436,-0.012207,1.016846,-0.121951,-0.121951,2.865854,0.0,0.0,0.0
0.086914,0.007324,0.980713,-0.243902,-0.060976,3.109756,0.0,0.0,0.0
0.101562,0.014893,0.999512,0.060976,0.0,3.536585,0.0,0.0,0.0
0.085938,0.020752,0.992188,-0.914634,0.121951,3.414634,0.0,0.0,0.0
0.093262,0.003418,0.994873,0.0,-0.121951,3.963415,0.0,0.0,0.0
0.0896,-0.029297,0.999023,0.792683,0.121951,4.573171,0.0,0.0,0.0
0.066406,-0.046631,1.007568,0.243902,0.0,7.134147,0.0,0.0,0.0
0.081543,-0.04126,1.019287,-0.304878,0.426829,8.963415,0.0,0.0,0.0
0.053223,0.022705,1.002441,0.426829,0.060976,9.878049,0.0,0.0,0.0
0.070801,0.031738,1.016846,0.365854,0.243902,8.902439,0.0,0.0,0.0
0.029297,0.034912,1.007812,0.121951,0.182927,7.439024,0.0,0.0,0.0
0.088135,0.018311,1.001465,2.5,0.121951,7.195122,0.0,0.0,0.0
0.049072,0.032227,0.988037,1.219512,-0.182927,6.036585,0.0,0.0,0.0
0.028809,0.008545,1.008301,-0.243902,0.0,6.036585,0.0,0.0,0.0
0.026367,-0.004639,1.00415,0.243902,0.182927,5.487805,0.0,0.0,0.0
0.030273,-0.00415,1.006592,-0.243902,0.0,5.792683,0.0,0.0,0.0
0.022461,0.002686,1.001709,-1.036585,0.121951,6.280488,0.0,0.0,0.0
0.012451,-0.008057,1.008789,0.243902,0.060976,6.341464,0.0,0.0,0.0
0.019043,0.018066,1.002197,-0.548781,-0.121951,6.829268,0.0,0.0,0.0
0.029785,0.008789,0.998291,-0.426829,0.304878,6.52439,0.0,0.0,0.0
0.018555,0.018799,0.996826,-0.365854,-0.243902,6.036585,0.0,0.0,0.0
0.016113,0.03418,1.008057,0.060976,-0.121951,5.670732,0.0,0.0,0.0
0.019043,0.02124,1.010742,0.0,0.060976,4.817073,0.0,0.0,0.0
0.0,0.019775,1.010498,0.121951,0.243902,4.329268,0.0,0.0,0.0
0.030518,0.026611,1.002686,-0.365854,0.060976,4.207317,0.0,0.0,0.0
-0.038086,0.001465,1.006348,0.060976,0.060976,3.47561,0.0,0.0,0.0
0.035645,0.029053,0.995605,0.670732,-0.060976,3.597561,0.0,0.0,0.0
0.013184,0.023682,1.000488,0.060976,-0.243902,2.621951,0.0,0.0,0.0
0.003418,0.013428,1.003418,-0.426829,-0.243902,1.463415,0.0,0.0,0.0
0.008545,0.010742,0.996826,-0.426829,0.121951,1.768293,0.0,0.0,0.0
0.03833,0.032715,1.006836,-0.853659,-0.182927,1.585366,0.0,0.0,0.0
0.009521,-0.003906,1.014648,-0.365854,-0.182927,0.121951,0.0,0.0,0.0
0.022705,-0.003906,1.007812,0.304878,-0.060976,0.609756,0.0,0.0,0.0
0.014648,0.004883,1.019531,-0.609756,0.304878,0.487805,0.0,0.0,0.0
0.270508,0.127197,0.827637,65.609756,3.04878,-0.121951,0.0,0.0,0.0
0.662842,-0.286621,1.288574,-21.280489,7.804878,-43.353661,0.0,0.0,0.0
-0.294189,0.084229,0.967285,-0.365854,0.548781,-72.317078,0.0,0.0,0.0
0.061279,0.011475,1.001465,4.573171,2.865854,-4.146341,0.0,0.0,0.0
0.072754,-0.009521,1.002441,5.243903,1.890244,-7.317073,0.0,0.0,0.0
0.008057,0.029297,1.000244,3.536585,1.219512,-3.47561,0.0,0.0,0.0
0.061523,0.009766,1.003662,2.073171,1.707317,-2.012195,0.0,0.0,0.0
0.025635,0.012939,0.999023,2.256098,0.426829,0.243902,0.0,0.0,0.0
-0.000488,0.005615,1.001953,-0.548781,0.243902,-0.182927,0.0,0.0,0.0
-0.000244,0.003906,1.013916,0.182927,0.548781,-0.121951,0.0,0.0,0.0
-0.008301,0.005615,0.998535,-1.158537,0.792683,-0.182927,0.0,0.0,0.0
-0.007324,0.012695,1.005615,-0.97561,0.487805,-0.121951,0.0,0.0,0.0
-0.006592,0.013428,1.003906,-0.609756,0.914634,-0.304878,0.0,0.0,0.0
-0.003418,0.020264,1.001953,-0.487805,0.97561,-0.97561,0.0,0.0,0.0
-0.002197,0.020996,0.998535,-0.365854,0.670732,-1.036585,0.0,0.0,0.0
-0.009766,0.016357,1.000488,0.0,0.487805,-0.853659,0.0,0.0,0.0
-0.012451,0.019043,1.001465,0.121951,-0.060976,-0.365854,0.0,0.0,0.0
-0.004395,0.013916,1.000488,0.304878,0.243902,-0.304878,0.0,0.0,0.0
-0.000244,0.013916,1.00415,0.304878,0.121951,0.121951,0.0,0.0,0.0
-0.007568,0.013672,1.005859,0.426829,0.0,0.182927,0.0,0.0,0.0
-0.00415,0.01123,1.000488,0.243902,-0.121951,0.121951,0.0,0.0,0.0
-0.005371,0.011963,0.998047,0.304878,0.060976,0.182927,0.0,0.0,0.0
-0.009766,0.011963,1.000244,0.121951,-0.182927,-0.182927,0.0,0.0,0.0
-0.009521,0.015137,1.003418,0.121951,-0.243902,0.365854,0.0,0.0,0.0
-0.006348,0.014893,1.005127,-0.182927,0.121951,0.060976,0.0,0.0,0.0
-0.00708,0.01416,0.997314,0.304878,0.243902,0.060976,0.0,0.0,0.0
-0.004639,0.016846,1.001709,-0.121951,0.121951,0.182927,0.0,0.0,0.0
-0.006836,0.013428,1.002686,-0.182927,0.243902,0.060976,0.0,0.0,0.0
-0.007568,0.021484,1.003906,-0.060976,0.0,-0.060976,0.0,0.0,0.0
-0.00293,0.01416,1.000488,0.0,0.060976,-0.060976,0.0,0.0,0.0
-0.006104,0.014404,1.004883,0.121951,0.243902,0.304878,0.0,0.0,0.0
-0.007324,0.006348,1.005127,-0.731707,0.304878,0.304878,0.0,0.0,0.0
-0.008057,0.009766,1.000977,0.060976,0.304878,0.243902,0.0,0.0,0.0
-0.00708,0.01123,1.005859,-0.060976,0.365854,0.060976,0.0,0.0,0.0
-0.007812,0.012939,1.000488,-0.121951,0.121951,0.304878,0.0,0.0,0.0
-0.001709,0.015381,1.001465,0.121951,0.121951,-0.060976,0.0,0.0,0.0
-0.008301,0.012451,0.999023,0.121951,0.243902,0.304878,0.0,0.0,0.0
