-0.005371,0.005859,1.004395,-0.121951,-0.182927,-0.121951.1,0.000000,0.000000.1,0.000000.2
-0.010254,0.000244,1.001953,-0.182927,0.060976,0.121951,0.0,0.0,0.0
-0.004883,0.003906,1.000977,0.304878,0.060976,0.060976,0.0,0.0,0.0
-0.012207,0.006348,1.001465,0.060976,0.121951,0.060976,0.0,0.0,0.0
-0.006104,0.001465,1.00293,-0.304878,-0.121951,0.060976,0.0,0.0,0.0
-0.002441,0.004883,1.00415,-0.121951,-0.060976,0.121951,0.0,0.0,0.0
-0.004639,0.001953,1.000244,0.0,-0.060976,0.0,0.0,0.0,0.0
-0.006836,-0.000488,1.001709,0.182927,0.304878,0.0,0.0,0.0,0.0
-0.009521,-0.002197,1.004639,0.060976,0.060976,0.060976,0.0,0.0,0.0
-0.019531,-0.022217,0.993164,0.060976,0.243902,0.304878,0.0,0.0,0.0
-0.006104,-0.006592,1.001953,0.243902,0.243902,0.487805,0.0,0.0,0.0
-0.00708,0.001953,1.001709,-0.121951,-0.060976,0.182927,0.0,0.0,0.0
-0.008789,0.002686,1.002441,-0.182927,0.182927,0.365854,0.0,0.0,0.0
-0.003906,0.005127,1.006836,0.060976,-0.182927,0.365854,0.0,0.0,0.0
-0.007324,0.00415,1.001221,-0.243902,0.121951,0.121951,0.0,0.0,0.0
-0.009521,0.002441,1.009033,-0.182927,-0.060976,0.0,0.0,0.0,0.0
-0.008057,0.005371,1.000732,-0.060976,-0.182927,0.304878,0.0,0.0,0.0
-0.005859,0.005859,1.001465,-0.060976,0.0,-0.182927,0.0,0.0,0.0
-0.008545,0.001221,1.000732,0.0,-0.182927,0.121951,0.0,0.0,0.0
-0.007324,-0.002441,0.999268,-0.060976,-0.487805,0.304878,0.0,0.0,0.0
-0.009521,-0.000488,1.000488,-0.243902,-0.060976,0.121951,0.0,0.0,0.0
-0.01123,0.007568,1.003662,-0.304878,-0.121951,0.0,0.0,0.0,0.0
-0.004883,-0.001221,1.001709,0.243902,0.182927,0.060976,0.0,0.0,0.0
-0.007324,0.000488,1.005127,0.0,-0.182927,0.365854,0.0,0.0,0.0
-0.006836,0.005859,0.999756,0.0,0.121951,0.182927,0.0,0.0,0.0
-0.013428,0.000977,1.002686,0.0,-0.060976,-0.060976,0.0,0.0,0.0
-0.006592,0.004395,1.001953,-0.182927,-0.182927,-0.060976,0.0,0.0,0.0
-0.008545,0.004883,1.001465,0.0,-0.182927,0.0,0.0,0.0,0.0
-0.004639,0.00415,1.001465,0.243902,-0.243902,0.060976,0.0,0.0,0.0
-0.012207,0.000488,0.998291,-0.060976,-0.243902,0.060976,0.0,0.0,0.0
-0.006592,0.002686,1.004883,0.0,-0.792683,0.304878,0.0,0.0,0.0
-0.006592,0.000977,0.990479,-0.304878,-0.731707,-0.060976,0.0,0.0,0.0
-0.001953,0.000732,1.005615,-0.182927,-0.914634,0.060976,0.0,0.0,0.0
-0.009277,0.000488,1.001709,-0.121951,-0.670732,0.365854,0.0,0.0,0.0
-0.003906,-0.000488,1.006836,-0.365854,-1.158537,0.426829,0.0,0.0,0.0
-0.008545,-0.002441,0.999268,-0.487805,-0.670732,0.060976,0.0,0.0,0.0
-0.004883,0.003418,1.003418,-0.487805,-1.158537,0.609756,0.0,0.0,0.0
-0.002686,-0.002441,0.989746,0.0,-1.280488,0.426829,0.0,0.0,0.0
