-0.076660,0.026367,0.998047,-1.219512,0.000000,-2.500000,0.000000.1,0.000000.2,0.000000.3
-0.087891,0.027344,1.000244,-1.036585,-0.121951,-1.097561,0.0,0.0,0.0
-0.056885,0.03833,1.003174,-0.792683,0.0,0.731707,0.0,0.0,0.0
-0.070068,0.051758,1.005127,-2.378049,-0.304878,1.097561,0.0,0.0,0.0
-0.108154,0.029297,1.004395,-1.280488,0.121951,1.280488,0.0,0.0,0.0
-0.111572,0.031006,1.004395,-1.402439,-0.182927,0.853659,0.0,0.0,0.0
-0.096924,0.014648,1.002197,-1.829268,0.121951,-0.182927,0.0,0.0,0.0
-0.109131,0.020508,0.991699,-1.341463,0.0,-0.914634,0.0,0.0,0.0
-0.013428,0.010986,1.000244,-0.060976,0.243902,-0.548781,0.0,0.0,0.0
-0.001465,0.018311,0.994385,-1.463415,-0.121951,-0.365854,0.0,0.0,0.0
-0.000244,0.015625,0.999756,-2.134146,-0.060976,-0.792683,0.0,0.0,0.0
0.000244,0.017822,0.999023,0.548781,-0.060976,-0.487805,0.0,0.0,0.0
0.001465,0.018311,1.009521,0.060976,-0.121951,-0.670732,0.0,0.0,0.0
-0.003418,0.013184,0.997803,0.365854,-0.121951,-0.487805,0.0,0.0,0.0
-0.004883,0.013428,1.003906,-0.121951,0.243902,-0.304878,0.0,0.0,0.0
-0.004883,0.020264,1.003662,-0.548781,-0.060976,-0.426829,0.0,0.0,0.0
-0.002197,0.016846,1.007568,-1.219512,0.182927,-0.426829,0.0,0.0,0.0
-0.001709,0.020996,1.003906,-0.792683,-0.182927,-0.731707,0.0,0.0,0.0
-0.009521,0.027588,0.999512,-0.548781,0.182927,-1.280488,0.0,0.0,0.0
-0.00293,0.014648,0.997803,-0.060976,0.121951,-1.95122,0.0,0.0,0.0
0.000977,0.030518,0.99585,0.243902,0.0,-2.073171,0.0,0.0,0.0
-0.005615,0.041016,0.999512,0.670732,-0.365854,-2.256098,0.0,0.0,0.0
0.012695,-0.006348,1.010254,0.914634,-0.365854,-3.170732,0.0,0.0,0.0
-0.005127,0.034668,1.011475,0.731707,-0.060976,-2.682927,0.0,0.0,0.0
-0.010742,0.033203,1.002441,1.158537,0.121951,-4.085366,0.0,0.0,0.0
-0.016113,0.05127,1.001465,1.646341,0.0,-5.97561,0.0,0.0,0.0
-0.026367,0.073486,0.996826,3.963415,-0.182927,-8.963415,0.0,0.0,0.0
-0.005615,0.029785,0.990967,4.878049,-0.060976,-12.317074,0.0,0.0,0.0
0.047119,-0.105713,0.992676,6.52439,0.670732,-12.682927,0.0,0.0,0.0
0.037598,-0.009521,1.002197,-8.414635,0.487805,-4.268293,0.0,0.0,0.0
-0.002197,0.010254,1.005615,-11.768293,0.182927,-1.768293,0.0,0.0,0.0
-0.010742,0.011719,1.02002,-2.317073,0.121951,-0.304878,0.0,0.0,0.0
0.003174,0.016357,1.003174,0.304878,0.304878,-0.121951,0.0,0.0,0.0
0.001953,0.014404,1.012939,3.719512,0.243902,0.426829,0.0,0.0,0.0
-0.000244,0.012451,1.026123,15.304878,0.426829,1.585366,0.0,0.0,0.0
-0.002441,0.029785,0.955566,6.646342,0.304878,1.097561,0.0,0.0,0.0
-0.009033,0.022461,1.003418,-0.060976,-0.243902,0.426829,0.0,0.0,0.0
-0.000732,0.017334,0.999268,-0.97561,-0.121951,0.243902,0.0,0.0,0.0
-0.004395,0.02002,1.002441,0.304878,0.060976,0.060976,0.0,0.0,0.0
-0.000488,0.019043,1.002197,-2.256098,0.060976,-0.243902,0.0,0.0,0.0
-0.004639,0.02124,1.009766,-2.073171,0.182927,-0.365854,0.0,0.0,0.0
-0.00293,0.020264,1.006104,0.0,0.060976,0.060976,0.0,0.0,0.0
0.000244,0.022705,1.00293,0.731707,0.121951,0.121951,0.0,0.0,0.0
-0.007812,0.02124,0.999756,0.670732,0.0,0.365854,0.0,0.0,0.0
-0.000244,0.018555,1.005127,0.0,-0.060976,0.0,0.0,0.0,0.0
-0.006104,0.014648,1.002686,0.060976,0.243902,0.243902,0.0,0.0,0.0
