0.004883,-0.008301,1.006104,-0.060976,0.000000,0.121951,0.000000.1,0.000000.2,0.000000.3
-0.001221,-0.004639,1.002441,0.182927,0.121951,-0.182927,0.0,0.0,0.0
-0.005371,0.002686,1.005127,0.060976,0.121951,-0.060976,0.0,0.0,0.0
-0.001465,-0.00293,1.006836,0.060976,0.182927,0.060976,0.0,0.0,0.0
0.007812,-0.001953,0.999512,0.060976,-0.121951,0.121951,0.0,0.0,0.0
-0.005371,0.005127,1.003662,-0.182927,-0.121951,0.060976,0.0,0.0,0.0
-0.000977,0.005127,1.004395,-0.304878,0.182927,-0.121951,0.0,0.0,0.0
-0.003906,0.002686,1.002197,-0.304878,0.0,-0.121951,0.0,0.0,0.0
-0.005371,-0.000977,1.000977,0.060976,-0.060976,-0.426829,0.0,0.0,0.0
-0.005371,0.000977,1.007568,0.182927,-0.243902,-0.304878,0.0,0.0,0.0
0.006592,0.003174,1.004395,-0.426829,0.121951,-0.487805,0.0,0.0,0.0
-0.005371,0.000732,0.999023,0.121951,-0.182927,-0.731707,0.0,0.0,0.0
0.001221,-0.000244,1.002686,0.182927,0.0,-0.670732,0.0,0.0,0.0
-0.003174,0.006592,1.008789,0.0,-0.121951,-0.426829,0.0,0.0,0.0
0.003906,0.000244,1.002197,-0.121951,0.304878,-0.365854,0.0,0.0,0.0
-0.001465,-0.004395,1.004395,0.0,-0.182927,-0.426829,0.0,0.0,0.0
0.004883,-0.008301,1.005127,0.060976,0.121951,-0.243902,0.0,0.0,0.0
-0.004395,-0.002686,1.004395,0.0,0.182927,0.121951,0.0,0.0,0.0
0.003418,-0.004883,1.005371,-0.182927,-0.182927,0.0,0.0,0.0,0.0
0.002197,0.0,1.002686,0.121951,-0.060976,0.060976,0.0,0.0,0.0
0.006836,0.0,1.000732,0.060976,0.182927,0.304878,0.0,0.0,0.0
-0.002197,-0.00293,1.001953,-0.304878,-0.121951,0.182927,0.0,0.0,0.0
0.003906,-0.007324,0.998779,0.0,0.060976,0.304878,0.0,0.0,0.0
0.013184,-0.012939,1.00293,-0.304878,0.0,0.853659,0.0,0.0,0.0
0.008057,-0.014404,1.003174,0.304878,0.060976,1.463415,0.0,0.0,0.0
0.011475,-0.017822,1.008057,-0.182927,-0.182927,1.829268,0.0,0.0,0.0
0.016846,-0.019531,1.002441,0.0,0.0,2.987805,0.0,0.0,0.0
0.025635,-0.024902,1.002197,0.121951,-0.182927,4.207317,0.0,0.0,0.0
0.075684,-0.0354,1.004395,0.121951,0.426829,6.768293,0.0,0.0,0.0
0.068848,-0.05249,1.003662,-0.731707,0.304878,8.902439,0.0,0.0,0.0
0.17749,-0.074219,1.004883,-1.402439,0.365854,11.036586,0.0,0.0,0.0
0.143555,-0.018066,0.989258,-0.487805,0.365854,13.597561,0.0,0.0,0.0
0.095947,-0.021484,1.024414,-4.02439,0.182927,12.073171,0.0,0.0,0.0
0.126709,-0.00708,1.005859,2.926829,0.609756,11.707317,0.0,0.0,0.0
0.198242,-0.014893,1.005859,2.926829,0.670732,10.609756,0.0,0.0,0.0
0.264648,-0.013672,0.998047,1.890244,0.548781,8.719512,0.0,0.0,0.0
0.291504,0.02124,1.004883,0.426829,0.487805,5.182927,0.0,0.0,0.0
0.296631,0.003906,1.004883,0.853659,0.426829,0.0,0.0,0.0,0.0
0.271729,-0.018066,1.001709,0.609756,0.060976,-5.0,0.0,0.0,0.0
0.29248,-0.083496,0.996826,-0.853659,-0.304878,-5.670732,0.0,0.0,0.0
0.277344,-0.085205,0.990234,-2.256098,-0.182927,-3.719512,0.0,0.0,0.0
0.251709,-0.07959,0.997559,-14.756098,-0.97561,-2.987805,0.0,0.0,0.0
0.272949,-0.048096,0.984619,0.304878,0.182927,-0.914634,0.0,0.0,0.0
0.212158,-0.00293,1.018799,0.243902,0.182927,-2.5,0.0,0.0,0.0
0.225098,-0.034424,0.999756,0.0,0.0,-4.817073,0.0,0.0,0.0
0.161133,-0.036133,1.000488,0.853659,0.97561,-5.060976,0.0,0.0,0.0
0.18335,-0.077148,1.016846,3.536585,0.609756,-4.268293,0.0,0.0,0.0
0.151855,-0.065186,0.992188,1.829268,0.548781,-3.04878,0.0,0.0,0.0
0.161133,-0.061279,1.00415,-1.829268,0.121951,-1.219512,0.0,0.0,0.0
0.125,-0.033936,1.013672,-3.719512,-0.121951,0.121951,0.0,0.0,0.0
0.137451,-0.026855,1.02417,-0.182927,0.365854,1.097561,0.0,0.0,0.0
0.071533,-0.022949,0.999512,1.036585,0.914634,2.865854,0.0,0.0,0.0
0.085693,-0.016846,1.00708,0.0,0.304878,3.231707,0.0,0.0,0.0
0.073486,-0.017578,1.006592,2.012195,0.853659,3.536585,0.0,0.0,0.0
0.075928,-0.003662,1.007812,7.073171,0.792683,3.47561,0.0,0.0,0.0
0.012939,-0.010742,0.981445,6.097561,0.792683,3.963415,0.0,0.0,0.0
0.115234,0.015381,0.999023,2.439024,0.792683,4.02439,0.0,0.0,0.0
-0.012695,0.039551,0.98877,-0.670732,0.243902,0.853659,0.0,0.0,0.0
0.011475,0.025879,1.00293,2.743902,1.280488,-1.158537,0.0,0.0,0.0
-0.026855,0.002686,1.006836,-0.731707,-1.097561,-3.04878,0.0,0.0,0.0
0.009277,0.02124,0.991699,1.341463,0.060976,-5.670732,0.0,0.0,0.0
0.061035,0.00708,0.98584,-1.768293,-0.426829,-6.280488,0.0,0.0,0.0
-0.058594,0.046631,1.015137,-1.158537,-0.97561,-7.134147,0.0,0.0,0.0
0.00415,0.014404,0.984375,1.707317,0.792683,-8.47561,0.0,0.0,0.0
-0.029541,0.006104,1.010254,-0.670732,0.426829,-8.536586,0.0,0.0,0.0
-0.04541,0.012451,0.981689,-2.5,0.0,-8.902439,0.0,0.0,0.0
-0.018799,0.019531,0.996582,1.646341,-0.792683,-10.731708,0.0,0.0,0.0
-0.067139,-0.00415,0.990479,0.487805,-0.487805,-11.402439,0.0,0.0,0.0
-0.005615,0.034912,0.995605,-1.341463,-0.487805,-12.012196,0.0,0.0,0.0
-0.050049,0.063232,0.99585,2.073171,-0.121951,-14.512196,0.0,0.0,0.0
-0.0979,0.00708,1.002441,-1.707317,-0.609756,-16.524391,0.0,0.0,0.0
-0.145508,0.050049,1.002197,0.792683,-0.487805,-15.243903,0.0,0.0,0.0
-0.068604,-0.018311,1.00293,-0.121951,-0.670732,-14.756098,0.0,0.0,0.0
-0.103516,-0.034912,0.991455,-1.158537,0.0,-13.04878,0.0,0.0,0.0
-0.151611,0.041016,1.002197,2.378049,-0.365854,-12.073171,0.0,0.0,0.0
-0.086914,0.020264,1.013428,0.0,-0.304878,-11.341464,0.0,0.0,0.0
-0.130859,0.020264,0.997559,1.463415,0.060976,-11.646341,0.0,0.0,0.0
-0.144043,0.061279,1.015869,2.987805,0.0,-12.134147,0.0,0.0,0.0
-0.11792,0.02124,0.980469,0.487805,-0.487805,-13.841464,0.0,0.0,0.0
-0.124756,0.020752,0.991699,0.0,-0.487805,-14.45122,0.0,0.0,0.0
-0.123535,-0.00293,1.019531,-3.109756,-0.365854,-13.902439,0.0,0.0,0.0
-0.152832,0.03833,1.005859,-0.304878,-0.548781,-12.682927,0.0,0.0,0.0
-0.151123,-0.007568,1.000977,-1.52439,-0.670732,-13.231708,0.0,0.0,0.0
-0.139404,-0.009521,0.995361,-1.52439,-0.548781,-14.207317,0.0,0.0,0.0
-0.168701,-0.010254,1.00708,0.792683,-0.548781,-13.719513,0.0,0.0,0.0
-0.097168,-0.01001,1.005859,0.365854,-0.365854,-11.341464,0.0,0.0,0.0
-0.166016,0.004395,1.006836,0.243902,-0.609756,-10.304878,0.0,0.0,0.0
