0.113281,0.014404,0.961182,4.756098,0.000000,-0.243902,0.000000.1,0.000000.2,0.000000.3
0.112061,0.000977,1.008057,0.182927,0.426829,-0.670732,0.0,0.0,0.0
0.079346,-0.000244,1.007812,-0.304878,0.182927,-0.914634,0.0,0.0,0.0
0.073486,-0.028809,0.999268,-2.439024,0.060976,-1.036585,0.0,0.0,0.0
0.074463,-0.019287,0.999268,-6.707317,0.304878,0.487805,0.0,0.0,0.0
0.087891,-0.00293,1.010254,-5.243903,0.426829,1.463415,0.0,0.0,0.0
0.085449,-0.023193,1.004639,-1.768293,0.121951,2.317073,0.0,0.0,0.0
0.091064,-0.000244,1.017822,0.304878,0.426829,3.536585,0.0,0.0,0.0
0.093018,0.016846,1.021729,1.402439,0.121951,3.902439,0.0,0.0,0.0
0.09375,0.046631,1.008789,6.158537,0.365854,4.878049,0.0,0.0,0.0
0.086182,0.037109,0.987305,9.512196,0.97561,4.573171,0.0,0.0,0.0
0.061279,0.004639,0.995117,-1.52439,0.243902,3.597561,0.0,0.0,0.0
0.069336,0.054199,0.991211,0.365854,0.426829,3.47561,0.0,0.0,0.0
0.064453,0.039307,1.019531,-0.853659,0.060976,2.378049,0.0,0.0,0.0
0.063965,-0.000488,1.014648,-0.914634,0.0,2.439024,0.0,0.0,0.0
0.093994,-0.001221,1.006348,-1.463415,0.365854,3.353659,0.0,0.0,0.0
0.090088,0.013916,0.998047,-5.853659,0.97561,4.329268,0.0,0.0,0.0
0.127441,-0.006104,0.995605,0.121951,0.0,4.695122,0.0,0.0,0.0
0.124512,0.000244,0.989258,0.060976,0.731707,3.536585,0.0,0.0,0.0
0.141846,-0.020996,1.013428,0.182927,0.548781,3.719512,0.0,0.0,0.0
0.125244,0.032471,1.007324,4.146341,0.304878,4.146341,0.0,0.0,0.0
0.128662,0.019287,1.017822,1.707317,0.426829,3.536585,0.0,0.0,0.0
0.138672,0.010254,1.004639,0.487805,0.365854,3.902439,0.0,0.0,0.0
0.12207,0.065918,1.005127,0.182927,0.548781,3.04878,0.0,0.0,0.0
0.130615,-0.015137,1.026367,-0.792683,0.243902,2.5,0.0,0.0,0.0
0.101807,0.005615,1.004883,-2.439024,0.731707,2.743902,0.0,0.0,0.0
0.150146,-0.005127,0.987305,1.280488,0.792683,1.585366,0.0,0.0,0.0
0.129395,-0.030029,0.989746,-2.560976,0.609756,0.365854,0.0,0.0,0.0
0.236328,-0.102783,0.987305,-7.317073,0.670732,15.97561,0.0,0.0,0.0
0.184814,-0.057617,1.015869,3.780488,0.0,1.768293,0.0,0.0,0.0
0.095947,0.024658,1.000977,-0.182927,0.0,-0.792683,0.0,0.0,0.0
0.129395,-0.02124,1.02124,-0.97561,0.121951,-1.158537,0.0,0.0,0.0
0.102295,0.016602,1.008057,-1.95122,0.243902,0.426829,0.0,0.0,0.0
0.155762,-0.019043,0.986084,-1.585366,0.304878,-2.012195,0.0,0.0,0.0
0.075195,0.010254,1.039062,-6.463415,0.365854,-0.365854,0.0,0.0,0.0
0.040039,0.006836,0.995605,3.902439,0.182927,1.341463,0.0,0.0,0.0
0.094971,-0.006104,1.008545,0.0,-0.243902,-0.670732,0.0,0.0,0.0
0.079834,0.01123,1.006592,1.036585,0.365854,-0.426829,0.0,0.0,0.0
0.024658,0.019775,0.988281,0.97561,-0.182927,0.121951,0.0,0.0,0.0
0.049805,0.012939,0.976074,2.073171,0.182927,-0.731707,0.0,0.0,0.0
0.01001,-0.012207,1.020752,-1.585366,-0.731707,-0.426829,0.0,0.0,0.0
0.037598,-0.0354,1.009766,-2.987805,0.060976,-0.487805,0.0,0.0,0.0
0.05835,0.029053,1.00708,-11.463415,0.121951,-0.548781,0.0,0.0,0.0
0.008057,0.050537,1.003174,-10.792684,-0.670732,-1.158537,0.0,0.0,0.0
