-0.001709,0.003174,1.006836,0.000000,-0.060976,-0.060976.1,0.000000.1,0.000000.2,0.000000.3
-0.003174,0.005127,1.001221,0.121951,-0.060976,-0.060976,0.0,0.0,0.0
-0.00415,-0.000488,0.998535,0.121951,0.121951,0.121951,0.0,0.0,0.0
0.003906,0.005615,1.002686,-0.182927,-0.121951,0.121951,0.0,0.0,0.0
0.000977,0.002686,1.002441,0.0,-0.060976,0.060976,0.0,0.0,0.0
-0.005615,0.00293,1.004395,-0.182927,-0.304878,0.121951,0.0,0.0,0.0
0.001709,-0.000244,1.003906,-0.121951,0.121951,-0.243902,0.0,0.0,0.0
-0.003906,0.001465,1.002441,-0.060976,0.243902,-0.243902,0.0,0.0,0.0
0.000977,-0.001709,1.001221,0.0,0.121951,-0.060976,0.0,0.0,0.0
-0.003174,0.009033,1.005127,-0.304878,0.060976,-0.060976,0.0,0.0,0.0
-0.002686,0.001221,1.002686,-0.304878,0.121951,0.060976,0.0,0.0,0.0
0.003662,0.000732,1.003418,0.060976,-0.304878,0.243902,0.0,0.0,0.0
0.0,-0.001221,1.003662,-0.426829,-0.060976,0.182927,0.0,0.0,0.0
-0.005371,0.003662,1.004395,0.0,0.060976,-0.121951,0.0,0.0,0.0
0.004639,0.000977,1.003418,-0.060976,0.0,0.0,0.0,0.0,0.0
-0.00415,0.000488,1.007324,-0.060976,0.243902,0.304878,0.0,0.0,0.0
0.0,0.00293,1.001953,0.0,0.121951,0.0,0.0,0.0,0.0
-0.003174,-0.004883,1.000488,-0.487805,0.182927,-0.121951,0.0,0.0,0.0
-0.001221,0.004883,1.002686,0.304878,0.182927,-0.243902,0.0,0.0,0.0
-0.003174,0.001953,1.006104,0.060976,0.060976,0.0,0.0,0.0,0.0
0.000977,0.000488,1.004639,0.0,0.182927,0.121951,0.0,0.0,0.0
-0.003174,0.005859,1.009033,-0.365854,0.182927,0.121951,0.0,0.0,0.0
-0.000732,0.004639,1.006348,0.121951,0.121951,0.182927,0.0,0.0,0.0
0.003662,0.001953,1.003662,-0.182927,0.365854,0.121951,0.0,0.0,0.0
0.000732,0.002686,1.00293,0.121951,0.243902,-0.243902,0.0,0.0,0.0
-0.000977,0.000977,1.006348,-0.182927,-0.121951,0.243902,0.0,0.0,0.0
-0.000488,0.000488,1.000244,0.0,-0.182927,-0.182927,0.0,0.0,0.0
-0.004395,0.002197,1.000977,0.060976,0.060976,-0.060976,0.0,0.0,0.0
-0.004395,0.008057,1.003662,-0.060976,0.060976,-0.304878,0.0,0.0,0.0
-0.014648,0.009521,1.003662,-0.121951,-0.121951,-0.487805,0.0,0.0,0.0
-0.018066,0.015137,1.000977,0.182927,-0.365854,-1.341463,0.0,0.0,0.0
-0.030273,0.027588,0.997559,0.182927,0.243902,-2.560976,0.0,0.0,0.0
-0.084473,0.019531,1.011719,-0.243902,-0.182927,-4.817073,0.0,0.0,0.0
-0.117676,0.033936,1.000977,0.121951,0.121951,-6.585366,0.0,0.0,0.0
-0.317139,0.054199,1.004395,-0.182927,0.0,-9.207317,0.0,0.0,0.0
-0.171387,0.006836,1.002441,-0.182927,-0.121951,-10.609756,0.0,0.0,0.0
-0.159424,0.005859,0.998291,-0.792683,-0.304878,-8.841464,0.0,0.0,0.0
-0.195557,-0.010498,1.008545,-0.670732,0.060976,-5.914634,0.0,0.0,0.0
-0.199463,0.000977,1.003662,-0.792683,0.182927,-2.073171,0.0,0.0,0.0
-0.262207,0.019043,1.002441,0.0,0.121951,0.487805,0.0,0.0,0.0
-0.264893,-0.028076,1.001953,-0.121951,0.304878,3.719512,0.0,0.0,0.0
-0.26123,-0.009766,1.00293,-0.731707,0.487805,6.768293,0.0,0.0,0.0
-0.255127,0.007568,0.997314,0.304878,0.121951,8.597561,0.0,0.0,0.0
-0.23584,0.017578,0.997803,-0.243902,0.548781,9.695122,0.0,0.0,0.0
-0.240723,0.012451,0.996094,0.243902,0.426829,10.731708,0.0,0.0,0.0
-0.236572,-0.004395,1.004883,0.365854,0.121951,11.280488,0.0,0.0,0.0
-0.278076,0.00293,0.996338,0.243902,0.0,11.158537,0.0,0.0,0.0
-0.253418,-0.030273,1.003174,0.548781,0.0,11.158537,0.0,0.0,0.0
-0.226318,-0.00293,0.994629,1.341463,0.365854,13.414635,0.0,0.0,0.0
-0.250488,0.011475,1.006836,0.609756,0.487805,15.0,0.0,0.0,0.0
-0.220459,0.043945,0.986816,-0.243902,0.487805,15.243903,0.0,0.0,0.0
-0.154297,0.009766,1.004883,0.365854,0.182927,16.585365,0.0,0.0,0.0
-0.179443,0.031494,0.984863,1.097561,0.670732,18.841463,0.0,0.0,0.0
-0.134766,0.044678,0.988037,1.280488,1.158537,18.536585,0.0,0.0,0.0
-0.110596,0.005127,1.008789,0.609756,0.182927,18.902439,0.0,0.0,0.0
-0.109863,0.031738,1.003906,1.036585,0.304878,19.024391,0.0,0.0,0.0
-0.128906,0.013916,1.012207,1.158537,0.0,19.085367,0.0,0.0,0.0
-0.139893,0.004395,0.98584,1.463415,0.792683,19.45122,0.0,0.0,0.0
-0.077881,0.015625,1.018799,0.914634,0.121951,19.512196,0.0,0.0,0.0
-0.032227,0.054932,1.000977,0.243902,0.853659,18.170732,0.0,0.0,0.0
-0.024414,0.034424,0.987305,0.670732,0.914634,16.829269,0.0,0.0,0.0
-0.038574,0.031982,0.986572,3.04878,1.158537,13.902439,0.0,0.0,0.0
-0.051758,-0.005371,0.981934,3.658537,0.914634,10.54878,0.0,0.0,0.0
0.03833,-0.05542,0.987305,-0.426829,0.548781,9.573171,0.0,0.0,0.0
0.099854,-0.050049,1.006104,-0.853659,-0.243902,11.646341,0.0,0.0,0.0
0.044434,0.037842,0.998047,-2.439024,0.731707,12.256098,0.0,0.0,0.0
0.101807,0.030029,1.011963,-2.682927,-0.182927,8.902439,0.0,0.0,0.0
0.104736,0.034424,1.016113,-0.121951,0.243902,6.219512,0.0,0.0,0.0
0.14917,-0.055908,1.013672,0.426829,0.853659,6.341464,0.0,0.0,0.0
0.080811,-0.044922,0.978027,0.182927,0.0,7.195122,0.0,0.0,0.0
0.12207,-0.037109,1.017334,-2.378049,-0.853659,5.670732,0.0,0.0,0.0
0.119873,-0.035156,1.00293,-1.768293,-0.182927,4.146341,0.0,0.0,0.0
0.174316,-0.092285,0.989258,-3.536585,-0.365854,3.170732,0.0,0.0,0.0
0.113281,-0.035156,1.018311,-7.865854,-1.341463,2.5,0.0,0.0,0.0
0.149902,-0.040039,1.0271,-2.134146,-0.792683,2.134146,0.0,0.0,0.0
0.110107,-0.046143,0.979736,2.317073,0.182927,1.890244,0.0,0.0,0.0
0.135254,-0.063721,0.991455,-2.317073,-0.914634,2.439024,0.0,0.0,0.0
0.13623,-0.037598,1.010986,-1.402439,-0.487805,1.95122,0.0,0.0,0.0
0.118164,-0.034424,1.008545,-2.439024,-0.365854,1.585366,0.0,0.0,0.0
0.098877,-0.019043,1.012695,0.487805,0.0,1.585366,0.0,0.0,0.0
