0.002441,-0.001465,1.001221,0.000000,-0.182927,0.121951,0.000000.1,0.000000.2,0.000000.3
0.002686,0.001221,1.004395,0.060976,0.182927,0.0,0.0,0.0,0.0
0.002686,0.003174,1.006104,0.0,-0.121951,-0.121951,0.0,0.0,0.0
-0.001221,0.000244,1.004395,0.182927,0.121951,0.121951,0.0,0.0,0.0
-0.003662,0.000732,0.998535,-0.243902,0.243902,0.0,0.0,0.0,0.0
0.000488,-0.006836,1.001709,-0.304878,-0.121951,0.0,0.0,0.0,0.0
0.000732,-0.002197,1.006104,0.0,0.060976,0.304878,0.0,0.0,0.0
-0.001709,-0.006104,1.004883,-0.121951,0.060976,-0.182927,0.0,0.0,0.0
0.000488,0.003418,1.005615,-0.060976,-0.243902,0.0,0.0,0.0,0.0
-0.003174,0.0,1.004883,-0.426829,0.121951,-0.304878,0.0,0.0,0.0
-0.003418,-0.002686,0.99585,0.182927,0.243902,-0.243902,0.0,0.0,0.0
0.001221,-0.002197,0.998779,-0.243902,0.0,-0.243902,0.0,0.0,0.0
-0.004395,-0.000977,1.004395,0.0,-0.182927,-0.365854,0.0,0.0,0.0
0.000977,0.010742,0.995117,-0.487805,0.0,-0.121951,0.0,0.0,0.0
-0.003662,-0.017822,1.004395,-0.243902,-0.243902,-0.365854,0.0,0.0,0.0
0.002197,0.002441,1.003174,-0.304878,-0.060976,-0.243902,0.0,0.0,0.0
-0.003662,-0.006836,0.998291,-0.304878,-0.243902,-0.670732,0.0,0.0,0.0
0.00708,0.004883,1.020996,-0.304878,-0.182927,-0.609756,0.0,0.0,0.0
0.002197,-0.002441,1.001709,-0.365854,-0.060976,-0.914634,0.0,0.0,0.0
0.003174,-0.000977,1.00293,-0.548781,-0.060976,-0.792683,0.0,0.0,0.0
-0.018066,-0.017334,0.998047,-0.365854,-0.060976,-1.158537,0.0,0.0,0.0
-0.001953,-0.000488,1.002686,-0.365854,-0.060976,-0.609756,0.0,0.0,0.0
0.000488,-0.006836,1.001221,-0.182927,-0.060976,-0.853659,0.0,0.0,0.0
