0.046387,0.049805,1.013916,0.000000,0.426829,3.658537,0.000000.1,0.000000.2,0.000000.3
0.048096,0.021484,1.015625,-2.256098,0.97561,5.243903,0.0,0.0,0.0
0.061035,0.037842,0.993164,-0.426829,0.670732,5.121951,0.0,0.0,0.0
0.072021,0.021729,1.004395,-4.146341,0.365854,2.682927,0.0,0.0,0.0
0.039795,0.000732,1.014404,-4.512195,0.365854,4.512195,0.0,0.0,0.0
0.057861,0.00415,0.997314,0.487805,0.792683,7.195122,0.0,0.0,0.0
0.041748,0.013916,1.009033,1.768293,0.487805,7.195122,0.0,0.0,0.0
0.037842,-0.003174,1.006592,3.780488,0.426829,8.536586,0.0,0.0,0.0
0.047363,0.017334,0.991943,4.329268,0.365854,9.329268,0.0,0.0,0.0
0.039307,0.054932,1.006592,1.280488,0.121951,8.04878,0.0,0.0,0.0
0.052734,0.039062,1.020264,0.792683,0.609756,8.231708,0.0,0.0,0.0
0.039307,0.069824,1.006104,0.853659,0.731707,8.536586,0.0,0.0,0.0
0.009033,0.088867,0.998291,0.609756,0.853659,6.402439,0.0,0.0,0.0
0.030029,0.047119,0.986816,0.914634,0.609756,4.390244,0.0,0.0,0.0
0.022705,0.076172,0.995605,1.036585,0.548781,4.512195,0.0,0.0,0.0
0.062744,0.060547,1.011475,0.365854,0.365854,3.841464,0.0,0.0,0.0
0.030029,0.087891,0.994873,1.341463,0.0,1.646341,0.0,0.0,0.0
0.0896,0.046875,1.005371,-0.365854,-0.365854,-0.487805,0.0,0.0,0.0
0.06543,0.030273,1.009766,-0.121951,0.0,-1.585366,0.0,0.0,0.0
0.034424,0.007324,1.0,-0.121951,-0.243902,-2.865854,0.0,0.0,0.0
0.056641,0.000244,1.013428,-1.219512,-0.060976,-3.109756,0.0,0.0,0.0
0.034424,-0.000732,0.998047,0.0,0.121951,-2.621951,0.0,0.0,0.0
0.030273,0.020752,0.993164,-0.121951,0.365854,-2.5,0.0,0.0,0.0
0.005127,0.006348,0.99707,0.060976,0.182927,-2.865854,0.0,0.0,0.0
0.029053,0.010986,1.013916,0.548781,-0.304878,-3.658537,0.0,0.0,0.0
0.042725,0.018799,1.010254,-0.670732,-0.243902,-3.04878,0.0,0.0,0.0
0.009521,0.01709,0.99585,0.304878,-0.182927,-3.719512,0.0,0.0,0.0
0.032227,0.008545,0.976074,1.219512,0.304878,-4.573171,0.0,0.0,0.0
0.033447,0.013428,1.009766,0.731707,-0.121951,-5.365854,0.0,0.0,0.0
0.089844,0.005371,0.993896,-0.243902,-0.853659,-5.792683,0.0,0.0,0.0
0.030518,0.005859,0.996826,-0.182927,-0.914634,-7.256098,0.0,0.0,0.0
0.070801,-0.027588,0.989746,1.95122,-0.304878,-6.280488,0.0,0.0,0.0
0.077881,-0.015137,1.01416,-2.865854,-0.426829,-5.731708,0.0,0.0,0.0
0.018799,-0.002197,1.008301,-0.121951,-0.670732,-6.341464,0.0,0.0,0.0
0.055176,-0.007812,1.006104,-0.182927,-0.243902,-4.878049,0.0,0.0,0.0
0.03833,0.015625,1.004639,0.731707,-0.670732,-5.670732,0.0,0.0,0.0
0.009277,0.038086,1.008545,2.012195,-0.060976,-6.341464,0.0,0.0,0.0
0.010254,-0.007812,0.994385,0.853659,-0.609756,-6.219512,0.0,0.0,0.0
0.036621,0.016113,0.998047,0.365854,-0.731707,-7.134147,0.0,0.0,0.0
0.027832,-0.008057,0.998779,0.243902,-0.487805,-9.390244,0.0,0.0,0.0
0.010254,0.029541,1.011475,-1.158537,0.0,-10.365854,0.0,0.0,0.0
0.051514,-0.00415,0.995117,-0.548781,-1.158537,-10.365854,0.0,0.0,0.0
-0.029297,0.029785,1.013672,0.182927,-0.304878,-11.402439,0.0,0.0,0.0
-0.004639,-0.041992,1.005127,-1.95122,-0.426829,-12.134147,0.0,0.0,0.0
-0.018066,-0.001709,1.001953,-0.365854,-0.731707,-10.121951,0.0,0.0,0.0
-0.053711,-0.012695,1.013184,-1.585366,-0.548781,-10.670732,0.0,0.0,0.0
0.011719,-0.044922,0.994873,-0.182927,-0.060976,-8.414635,0.0,0.0,0.0
-0.022705,0.007568,1.019531,-1.768293,-0.243902,-7.378049,0.0,0.0,0.0
-0.07373,0.015137,0.994385,1.463415,-0.609756,-8.902439,0.0,0.0,0.0
-0.055664,-0.019531,0.999268,-0.731707,-0.487805,-8.231708,0.0,0.0,0.0
-0.044189,0.010986,0.991699,1.097561,-0.548781,-7.073171,0.0,0.0,0.0
-0.038574,0.011963,0.998535,-0.853659,-0.304878,-7.560976,0.0,0.0,0.0
