0.103760,-0.001953,1.014160,-0.426829,-0.426829.1,-1.280488,0.000000,0.000000.1,0.000000.2
0.131104,0.003662,1.002197,-0.243902,-0.548781,-1.52439,0.0,0.0,0.0
0.12085,0.018311,0.997314,-0.365854,-0.304878,-1.646341,0.0,0.0,0.0
0.12207,0.009033,0.996338,0.0,-0.121951,-2.865854,0.0,0.0,0.0
0.115967,0.013184,0.997559,0.060976,-0.182927,-3.292683,0.0,0.0,0.0
0.096924,0.013184,1.010254,-0.426829,-0.487805,-3.780488,0.0,0.0,0.0
0.124023,0.009766,1.007812,0.121951,-0.182927,-4.329268,0.0,0.0,0.0
0.095459,-0.000732,1.024658,-0.670732,-0.365854,-5.914634,0.0,0.0,0.0
0.085449,-0.00708,1.008789,0.243902,-0.121951,-5.97561,0.0,0.0,0.0
0.075195,-0.00293,0.998047,0.365854,-0.243902,-4.756098,0.0,0.0,0.0
0.071533,-0.024658,0.995605,0.121951,-0.365854,-4.207317,0.0,0.0,0.0
0.088867,-0.003174,0.995361,0.121951,0.121951,-3.109756,0.0,0.0,0.0
0.052979,-0.010742,0.993408,-0.365854,-0.243902,-2.256098,0.0,0.0,0.0
0.063477,-0.000488,1.008545,-0.182927,-0.121951,-1.097561,0.0,0.0,0.0
0.070068,0.001465,0.999023,-0.182927,-0.121951,-0.792683,0.0,0.0,0.0
0.012939,-0.00415,1.000732,-0.121951,-0.182927,0.060976,0.0,0.0,0.0
-0.000977,-0.004395,1.000488,-0.060976,0.182927,0.182927,0.0,0.0,0.0
0.000488,-0.00415,1.006592,-0.060976,0.304878,0.0,0.0,0.0,0.0
0.004883,-0.001465,1.002686,0.182927,0.060976,0.0,0.0,0.0,0.0
-0.00293,-0.006592,0.997559,0.121951,0.121951,0.060976,0.0,0.0,0.0
-0.003662,0.002686,0.999023,0.426829,0.060976,0.121951,0.0,0.0,0.0
0.001953,0.002441,1.005615,0.0,-0.243902,-0.060976,0.0,0.0,0.0
0.000977,-0.005615,1.001953,-0.121951,-0.060976,0.060976,0.0,0.0,0.0
