-0.002441,0.009033,1.001221,0.121951,-0.121951,0.000000,0.000000.1,0.000000.2,0.000000.3
-0.005615,0.000488,1.005859,0.243902,0.060976,0.121951,0.0,0.0,0.0
-0.000488,0.001465,0.999756,0.243902,-0.060976,0.0,0.0,0.0,0.0
-0.005127,0.007568,1.002441,-0.182927,-0.121951,-0.121951,0.0,0.0,0.0
-0.004639,0.001221,1.000977,0.121951,0.304878,0.121951,0.0,0.0,0.0
-0.000488,0.005371,1.006592,-0.060976,0.0,0.0,0.0,0.0,0.0
-0.002441,0.005615,1.002197,0.0,-0.121951,0.365854,0.0,0.0,0.0
-0.003906,0.003906,0.998779,-0.304878,0.060976,0.182927,0.0,0.0,0.0
-0.001709,0.006592,1.0,0.0,0.182927,-0.060976,0.0,0.0,0.0
0.00415,0.001221,1.006104,0.0,-0.182927,0.121951,0.0,0.0,0.0
0.001709,0.006104,1.003906,0.121951,-0.182927,0.304878,0.0,0.0,0.0
0.003906,0.01123,1.003906,0.121951,-0.182927,0.304878,0.0,0.0,0.0
-0.000488,0.007324,1.004395,0.243902,-0.182927,0.304878,0.0,0.0,0.0
-0.001465,0.006592,1.000977,0.121951,-0.243902,0.060976,0.0,0.0,0.0
0.0,0.005371,1.001953,0.365854,0.0,0.243902,0.0,0.0,0.0
0.011963,0.012451,1.003174,0.121951,0.182927,0.426829,0.0,0.0,0.0
0.001221,0.000977,1.002686,-0.121951,0.121951,0.487805,0.0,0.0,0.0
-0.000977,0.003174,1.002197,0.0,0.121951,0.365854,0.0,0.0,0.0
-0.001709,0.003906,1.006104,-0.243902,0.121951,0.853659,0.0,0.0,0.0
0.002441,0.005371,1.006592,0.060976,0.243902,0.670732,0.0,0.0,0.0
0.003418,0.0,1.004639,0.182927,0.121951,0.670732,0.0,0.0,0.0
-0.001709,0.008545,1.001709,0.060976,-0.121951,1.097561,0.0,0.0,0.0
0.001465,0.006104,1.006836,0.0,-0.121951,0.914634,0.0,0.0,0.0
-0.002686,-0.000488,0.997559,-0.060976,0.0,1.097561,0.0,0.0,0.0
0.001953,0.005371,1.005859,-0.121951,-0.060976,1.219512,0.0,0.0,0.0
0.010742,0.01416,1.004639,-0.182927,0.243902,1.158537,0.0,0.0,0.0
0.001221,0.0,1.003906,-0.121951,-0.182927,1.646341,0.0,0.0,0.0
0.017822,0.016357,1.005371,-0.182927,-0.060976,1.768293,0.0,0.0,0.0
-0.001221,-0.001221,1.009521,-0.121951,-0.121951,2.134146,0.0,0.0,0.0
-0.000488,-0.008057,1.008545,0.304878,0.0,2.682927,0.0,0.0,0.0
0.018066,-0.027588,0.99585,0.182927,0.060976,3.536585,0.0,0.0,0.0
0.040771,-0.043457,1.001221,-0.060976,0.060976,5.243903,0.0,0.0,0.0
0.051514,-0.046631,1.00708,-0.914634,0.487805,7.5,0.0,0.0,0.0
0.025146,-0.033936,1.001953,-0.609756,0.060976,9.573171,0.0,0.0,0.0
0.073242,-0.031982,1.002441,0.0,0.243902,11.585366,0.0,0.0,0.0
0.210693,-0.057373,1.006836,0.060976,0.365854,13.902439,0.0,0.0,0.0
0.084717,0.05835,0.999023,0.304878,0.182927,14.695123,0.0,0.0,0.0
0.086426,-0.030518,1.021729,1.585366,0.365854,13.353659,0.0,0.0,0.0
0.134521,-0.025146,1.007568,0.243902,0.304878,15.0,0.0,0.0,0.0
0.121582,-0.038574,0.994873,-1.036585,0.365854,17.134148,0.0,0.0,0.0
0.160889,-0.026855,1.000977,-1.219512,0.731707,20.182928,0.0,0.0,0.0
0.137939,0.000732,0.997803,-5.0,0.792683,22.073172,0.0,0.0,0.0
0.138184,0.003418,1.028809,-0.060976,1.036585,23.414635,0.0,0.0,0.0
0.1875,0.032959,0.979248,8.47561,1.158537,25.42683,0.0,0.0,0.0
0.154785,0.019531,0.992432,1.036585,0.487805,23.170732,0.0,0.0,0.0
0.208984,0.030762,1.009033,-0.792683,0.914634,21.707317,0.0,0.0,0.0
0.206543,0.017334,1.016602,1.036585,0.670732,19.634148,0.0,0.0,0.0
0.182617,0.019287,1.014648,-0.243902,1.158537,17.621952,0.0,0.0,0.0
0.200195,-0.008545,1.000732,0.548781,0.97561,14.329268,0.0,0.0,0.0
0.184326,-0.030518,0.989746,0.487805,0.609756,12.5,0.0,0.0,0.0
0.186523,-0.020752,0.99292,1.768293,0.304878,11.402439,0.0,0.0,0.0
0.210449,-0.054688,0.984619,-6.341464,0.914634,11.585366,0.0,0.0,0.0
0.155762,-0.0271,0.99707,-10.914635,-0.243902,11.158537,0.0,0.0,0.0
0.198975,-0.029785,1.020752,-11.52439,0.182927,10.670732,0.0,0.0,0.0
0.129395,-0.027832,1.008057,-5.609756,0.487805,10.54878,0.0,0.0,0.0
0.221436,-0.088379,1.063477,-1.829268,0.365854,12.317074,0.0,0.0,0.0
0.170166,0.012695,1.040283,5.243903,1.158537,10.97561,0.0,0.0,0.0
0.131348,0.004395,0.989746,25.54878,2.012195,9.695122,0.0,0.0,0.0
0.15332,0.004883,0.978516,17.37805,0.731707,7.378049,0.0,0.0,0.0
0.10791,-0.019775,1.000244,0.670732,0.487805,4.573171,0.0,0.0,0.0
0.18042,-0.025391,0.998047,0.792683,0.609756,6.097561,0.0,0.0,0.0
