0.003174,0.002197,1.004150,-0.121951,0.000000,0.000000.1,0.000000.2,0.000000.3,0.751031
-0.001709,0.000732,0.996094,0.060976,0.060976,0.0,0.0,0.0,0.0
0.003906,-0.002441,1.000488,-0.121951,0.121951,0.060976,0.0,0.0,0.0
0.000488,0.001465,0.999756,-0.182927,0.121951,0.182927,0.0,0.0,0.0
0.0,-0.003174,0.999023,0.0,0.060976,0.0,0.0,0.0,0.0
0.000732,-0.00415,0.996826,-0.060976,0.0,-0.121951,0.0,0.0,0.0
-0.000977,0.0,1.000488,0.0,-0.243902,-0.060976,0.0,0.0,0.0
0.002197,0.000488,0.999268,0.121951,0.121951,-0.060976,0.0,0.0,0.0
0.003418,0.006348,1.004639,0.060976,0.0,-0.121951,0.0,0.0,0.0
0.0,0.003662,1.0,-0.182927,-0.060976,0.0,0.0,0.0,0.0
0.000244,-0.000488,0.999268,-0.121951,0.121951,-0.060976,0.0,0.0,0.0
-0.006104,0.004395,0.998047,-0.304878,-0.365854,0.0,0.0,0.0,0.0
0.0,0.002441,1.001709,-0.121951,-0.182927,0.0,0.0,0.0,0.0
-0.00293,-0.000244,1.001465,0.0,0.060976,-0.121951,0.0,0.0,0.0
-0.005371,0.003906,1.001221,-0.182927,-0.060976,0.182927,0.0,0.0,0.0
0.004639,-0.000244,1.004639,0.0,0.0,-0.060976,0.0,0.0,0.0
0.001465,0.00293,1.000244,-0.060976,0.182927,0.060976,0.0,0.0,0.0
0.000977,0.002686,1.000977,0.0,0.0,-0.365854,0.0,0.0,0.0
0.002197,0.003418,1.00293,-0.243902,0.304878,-0.243902,0.0,0.0,0.0
-0.001221,0.002197,1.005615,0.0,0.0,-0.060976,0.0,0.0,0.0
-0.006348,-0.000488,0.999512,0.0,0.121951,-0.182927,0.0,0.0,0.0
0.0,0.000732,0.997314,-0.304878,-0.121951,-0.060976,0.0,0.0,0.0
0.003174,-0.001953,1.001709,0.0,-0.182927,0.0,0.0,0.0,0.0
