2.000000,2.000000.1,1.194336,3970.853760,3924.573242,3872.865967,0.000000,0.000000.1,0.000000.2
2.0,2.0,1.278564,3977.439209,3921.524414,3870.914795,0.0,0.0,0.0
2.0,2.0,1.339844,3981.890381,3921.70752,3869.024414,0.0,0.0,0.0
2.0,2.0,1.410645,3987.5,3924.20752,3866.890381,0.0,0.0,0.0
2.0,2.0,1.472412,3994.329346,3929.268311,3865.061035,0.0,0.0,0.0
2.0,2.0,1.496338,3.04878,3935.487793,3863.963623,0.0,0.0,0.0
2.0,2.0,1.50415,2.987805,3942.317139,3861.890381,0.0,0.0,0.0
2.0,2.0,1.480713,4.45122,3948.963623,3859.939209,0.0,0.0,0.0
2.0,2.0,1.454346,6.646342,3953.963623,3859.573242,0.0,0.0,0.0
2.0,2.0,1.453125,9.085366,3957.62207,3858.35376,0.0,0.0,0.0
2.0,2.0,1.472168,12.987805,3961.158691,3855.609863,0.0,0.0,0.0
2.0,2.0,1.493652,18.109756,3966.70752,3853.841553,0.0,0.0,0.0
2.0,2.0,1.502686,22.012196,3975.487793,3852.073242,0.0,0.0,0.0
2.0,2.0,1.450439,22.195122,3984.695312,3849.695312,0.0,0.0,0.0
2.0,2.0,1.359619,18.04878,3991.402588,3846.463623,0.0,0.0,0.0
2.0,2.0,1.284668,14.573171,3994.329346,3842.927002,0.0,0.0,0.0
2.0,2.0,1.268555,12.317074,3995.670898,3840.609863,0.0,0.0,0.0
2.0,2.0,1.260742,11.768293,1.890244,3838.231689,0.0,0.0,0.0
2.0,2.0,1.260986,14.878049,4.695122,3836.280518,0.0,0.0,0.0
2.0,2.0,1.240479,17.073172,8.597561,3835.243896,0.0,0.0,0.0
2.0,2.0,1.192139,19.817074,13.292684,3833.475586,0.0,0.0,0.0
2.0,2.0,1.125244,22.92683,16.768293,3832.134277,0.0,0.0,0.0
2.0,2.0,1.055908,23.597561,18.231709,3831.219482,0.0,0.0,0.0
2.0,2.0,1.015381,21.097561,18.719513,3830.365967,0.0,0.0,0.0
2.0,2.0,4.977539,19.329269,18.780489,3829.024414,0.0,0.0,0.0
2.0,2.0,4.942139,17.621952,19.512196,3829.20752,0.0,0.0,0.0
2.0,2.0,4.91748,13.47561,19.695122,3830.0,0.0,0.0,0.0
2.0,2.0,4.850586,6.158537,21.219513,3830.731689,0.0,0.0,0.0
2.0,2.0,4.772217,0.304878,19.512196,3831.036621,0.0,0.0,0.0
2.0,2.0,4.694092,3994.329346,15.060976,3833.170898,0.0,0.0,0.0
2.0,2.0,4.633545,1.219512,7.195122,3836.463623,0.0,0.0,0.0
2.0,2.0,4.632568,8.109756,3992.134277,3840.0,0.0,0.0,0.0
2.0,2.0,4.697754,14.02439,3981.463623,3841.585449,0.0,0.0,0.0
2.0,2.0,4.764893,14.146341,3977.134277,3840.487793,0.0,0.0,0.0
2.0,2.0,4.812256,12.256098,3975.792725,3837.743896,0.0,0.0,0.0
2.0,2.0,4.834473,7.621952,3978.109863,3836.890381,0.0,0.0,0.0
