0.167969,0.148438,0.964844,-1.890244,0.000000,-2.317073,0.000000.1,0.000000.2,0.000000.3
0.144043,0.26416,1.263672,4.939024,30.060976,-57.804878,0.0,0.0,0.0
0.134766,0.249512,1.248535,5.060976,32.92683,-58.048782,0.0,0.0,0.0
0.119141,0.239258,1.236328,5.54878,36.402439,-59.329269,0.0,0.0,0.0
0.095703,0.207031,1.229004,6.768293,39.085365,-61.402439,0.0,0.0,0.0
0.096191,0.17334,1.234375,8.841464,41.646343,-62.987808,0.0,0.0,0.0
0.094238,0.131836,1.232422,11.402439,44.512196,-63.719513,0.0,0.0,0.0
0.092285,0.082031,1.210449,12.743903,47.134148,-63.109756,0.0,0.0,0.0
0.089355,0.040039,1.231445,14.390244,48.109756,-61.463417,0.0,0.0,0.0
0.087402,0.022461,1.254883,14.512196,49.7561,-58.353661,0.0,0.0,0.0
0.080566,0.013672,1.284668,13.04878,53.109756,-55.731709,0.0,0.0,0.0
0.077148,0.004395,1.283691,11.280488,56.768295,-53.048782,0.0,0.0,0.0
0.076172,0.007324,1.280762,9.390244,60.670734,-50.731709,0.0,0.0,0.0
0.061523,-0.012207,1.27002,7.682927,66.585365,-48.841465,0.0,0.0,0.0
0.060059,-0.019531,1.239258,6.158537,71.341469,-47.987804,0.0,0.0,0.0
0.055176,-0.032227,1.192383,4.878049,75.548782,-46.402439,0.0,0.0,0.0
0.047852,-0.062012,1.150391,4.634146,78.353661,-45.548782,0.0,0.0,0.0
0.032715,-0.108398,1.117676,6.585366,80.304878,-43.658539,0.0,0.0,0.0
0.014648,-0.130859,1.095215,9.146341,81.402443,-40.609756,0.0,0.0,0.0
-0.001953,-0.130859,1.082031,10.487805,81.646347,-37.2561,0.0,0.0,0.0
-0.012695,-0.13916,1.081543,9.573171,81.951218,-35.121952,0.0,0.0,0.0
-0.015625,-0.15918,1.075195,7.926829,83.597565,-33.475609,0.0,0.0,0.0
-0.003906,-0.187012,1.052734,5.487805,84.878052,-31.097561,0.0,0.0,0.0
-0.002441,-0.208008,1.030273,3.353659,86.585365,-27.92683,0.0,0.0,0.0
-0.001953,-0.248047,0.991699,3.353659,88.048782,-23.353659,0.0,0.0,0.0
-0.015137,-0.276855,0.964844,3.719512,88.597565,-18.292683,0.0,0.0,0.0
-0.017578,-0.280762,0.931641,4.573171,89.085365,-11.585366,0.0,0.0,0.0
-0.03125,-0.269531,0.903809,3.902439,88.780487,-5.487805,0.0,0.0,0.0
-0.04834,-0.262695,0.858887,2.439024,87.926834,2.012195,0.0,0.0,0.0
-0.0625,-0.25,0.822266,1.890244,87.317078,9.02439,0.0,0.0,0.0
-0.071289,-0.225586,0.791016,1.585366,85.548782,15.914635,0.0,0.0,0.0
-0.083008,-0.188965,0.770996,1.463415,83.841469,22.621952,0.0,0.0,0.0
-0.097656,-0.162109,0.748047,0.060976,81.341469,28.170732,0.0,0.0,0.0
-0.109863,-0.111328,0.722656,-4.207317,80.121956,33.475609,0.0,0.0,0.0
-0.124023,-0.083984,0.701172,-7.134147,77.134148,36.890244,0.0,0.0,0.0
-0.124023,-0.062988,0.688477,-10.121951,72.926834,39.817074,0.0,0.0,0.0
-0.144043,-0.057617,0.653809,-13.841464,69.634148,42.865856,0.0,0.0,0.0
-0.149902,-0.067871,0.62793,-16.097561,67.5,45.670734,0.0,0.0,0.0
-0.154785,-0.066406,0.592285,-18.109756,66.646339,49.024391,0.0,0.0,0.0
-0.158203,-0.069336,0.548828,-17.073172,60.792683,53.963417,0.0,0.0,0.0
-0.164551,-0.060547,0.515137,-19.756098,58.170734,57.560978,0.0,0.0,0.0
-0.16748,-0.042969,0.477051,-19.512196,51.646343,62.073174,0.0,0.0,0.0
-0.168945,-0.050293,0.466309,-16.768293,42.743904,67.378052,0.0,0.0,0.0
-0.164062,-0.035645,0.47168,-13.04878,35.0,72.926834,0.0,0.0,0.0
-0.169434,0.015625,0.51416,-5.060976,28.536587,78.414635,0.0,0.0,0.0
-0.167969,0.062012,0.527344,-3.658537,24.146341,83.048782,0.0,0.0,0.0
-0.181152,0.119141,0.539551,-1.097561,19.085367,86.585365,0.0,0.0,0.0
-0.201172,0.203613,0.564453,0.121951,14.146341,88.109756,0.0,0.0,0.0
-0.220703,0.278809,0.596191,-3.597561,9.573171,87.743904,0.0,0.0,0.0
-0.233887,0.32373,0.606445,-9.756098,5.121951,84.573174,0.0,0.0,0.0
-0.237793,0.334961,0.605957,-13.47561,1.890244,81.585365,0.0,0.0,0.0
-0.229492,0.333008,0.608887,-15.304878,-2.621951,78.170731,0.0,0.0,0.0
-0.219727,0.312012,0.615723,-13.536586,-6.158537,76.036591,0.0,0.0,0.0
-0.219238,0.3125,0.630371,-11.158537,-9.329268,74.207321,0.0,0.0,0.0
-0.217285,0.32373,0.641602,-7.743903,-12.926829,72.804878,0.0,0.0,0.0
-0.206543,0.320801,0.669922,-7.378049,-16.341463,71.707321,0.0,0.0,0.0
-0.205078,0.321289,0.685059,-9.146341,-19.756098,70.853661,0.0,0.0,0.0
-0.190918,0.30957,0.705078,-13.04878,-23.597561,70.548782,0.0,0.0,0.0
-0.183105,0.305664,0.751465,-16.585365,-26.280489,70.365852,0.0,0.0,0.0
-0.17334,0.300293,0.764648,-21.463415,-25.731709,69.634148,0.0,0.0,0.0
-0.14502,0.281738,0.706055,-21.219513,-26.097561,71.280487,0.0,0.0,0.0
-0.149414,0.32373,0.680664,-16.524391,-29.45122,73.963417,0.0,0.0,0.0
-0.143555,0.384277,0.692383,-12.560976,-34.146343,75.060974,0.0,0.0,0.0
-0.146484,0.429199,0.715332,-13.597561,-38.292683,73.658539,0.0,0.0,0.0
-0.139648,0.427734,0.732422,-17.073172,-42.682926,70.792686,0.0,0.0,0.0
-0.120605,0.422363,0.749023,-20.792683,-46.829269,68.658539,0.0,0.0,0.0
-0.107422,0.399414,0.768555,-22.134148,-50.304878,66.097565,0.0,0.0,0.0
-0.092285,0.376465,0.777344,-20.060976,-51.890244,64.512199,0.0,0.0,0.0
-0.079102,0.371094,0.784668,-16.341463,-52.560978,64.634148,0.0,0.0,0.0
-0.072266,0.399902,0.799805,-11.402439,-54.939026,64.695122,0.0,0.0,0.0
-0.090332,0.438477,0.821777,-8.719512,-56.585365,64.390244,0.0,0.0,0.0
-0.090332,0.464844,0.826172,-8.536586,-58.902439,62.68293,0.0,0.0,0.0
-0.09375,0.475586,0.851074,-3.536585,-68.109756,61.097561,0.0,0.0,0.0
-0.083008,0.509277,0.875488,-10.487805,-62.439026,57.92683,0.0,0.0,0.0
-0.094727,0.526367,0.896973,-12.195122,-62.68293,54.7561,0.0,0.0,0.0
-0.094727,0.55127,0.908691,-13.841464,-62.2561,51.524391,0.0,0.0,0.0
-0.087891,0.568848,0.897461,-16.402439,-62.439026,46.951221,0.0,0.0,0.0
-0.06543,0.591797,0.863281,-18.719513,-64.451218,41.646343,0.0,0.0,0.0
-0.024414,0.569824,0.870605,-17.987804,-69.024391,35.304878,0.0,0.0,0.0
0.01123,0.543457,0.938965,-13.597561,-73.353661,31.646341,0.0,0.0,0.0
0.046875,0.524414,1.069336,-6.95122,-77.439026,28.658537,0.0,0.0,0.0
0.057129,0.520508,1.150879,-5.914634,-77.987808,27.073172,0.0,0.0,0.0
0.070312,0.521973,1.232422,-9.573171,-73.048782,25.42683,0.0,0.0,0.0
0.080078,0.529297,1.274414,-13.536586,-66.890244,23.231709,0.0,0.0,0.0
0.081543,0.512695,1.275879,-19.756098,-59.878052,21.036587,0.0,0.0,0.0
0.080566,0.504883,1.23291,-25.121952,-54.024391,18.902439,0.0,0.0,0.0
0.081543,0.485352,1.163086,-28.902439,-50.243904,17.439024,0.0,0.0,0.0
0.063477,0.481445,1.116699,-28.719513,-48.841465,15.670732,0.0,0.0,0.0
0.062012,0.489746,1.088867,-27.5,-48.170734,13.292684,0.0,0.0,0.0
0.056152,0.498535,1.078125,-25.243902,-48.841465,9.02439,0.0,0.0,0.0
0.059082,0.487793,1.103027,-22.317074,-49.878052,3.719512,0.0,0.0,0.0
0.070312,0.463867,1.138672,-20.975611,-48.841465,-0.670732,0.0,0.0,0.0
0.079102,0.444824,1.15625,-22.317074,-46.463417,-4.146341,0.0,0.0,0.0
0.09668,0.414551,1.156738,-25.304878,-43.353661,-7.682927,0.0,0.0,0.0
0.095215,0.372559,1.144531,-27.5,-40.304878,-9.878049,0.0,0.0,0.0
0.108887,0.336426,1.117676,-29.573172,-37.439026,-12.012196,0.0,0.0,0.0
0.119629,0.297852,1.07666,-29.268293,-34.695122,-12.378049,0.0,0.0,0.0
0.123047,0.280762,1.050781,-26.890245,-34.146343,-11.52439,0.0,0.0,0.0
0.118164,0.287109,1.031738,-24.024391,-34.085365,-10.426829,0.0,0.0,0.0
0.10791,0.299316,1.040527,-22.134148,-34.085365,-10.792684,0.0,0.0,0.0
0.10498,0.312012,1.053223,-21.036587,-33.536587,-11.890244,0.0,0.0,0.0
0.099609,0.320801,1.051758,-21.646341,-31.890245,-13.902439,0.0,0.0,0.0
0.105469,0.320801,1.038574,-22.256098,-29.817074,-16.646341,0.0,0.0,0.0
0.106934,0.313477,1.027344,-23.170732,-28.658537,-19.817074,0.0,0.0,0.0
0.119141,0.303711,1.005371,-24.024391,-28.04878,-22.37805,0.0,0.0,0.0
0.126465,0.281738,0.991699,-25.853659,-28.231709,-25.304878,0.0,0.0,0.0
0.138184,0.253906,0.999512,-28.902439,-28.902439,-27.073172,0.0,0.0,0.0
0.148438,0.224121,1.001953,-32.317074,-29.512196,-28.170732,0.0,0.0,0.0
0.160645,0.185547,1.011719,-32.560978,-29.268293,-28.414635,0.0,0.0,0.0
0.161133,0.16748,1.008789,-31.890245,-28.597561,-27.195122,0.0,0.0,0.0
0.155762,0.158691,1.019043,-28.841465,-28.109756,-25.975611,0.0,0.0,0.0
0.154297,0.174316,1.015625,-25.060976,-26.829269,-25.365854,0.0,0.0,0.0
0.155273,0.188477,1.023438,-22.560976,-25.975611,-25.609756,0.0,0.0,0.0
0.142578,0.211914,1.035645,-19.695122,-24.512196,-26.402439,0.0,0.0,0.0
0.14502,0.226562,1.046387,-17.5,-22.987806,-27.621952,0.0,0.0,0.0
0.144531,0.236328,1.052734,-15.243903,-21.402439,-29.756098,0.0,0.0,0.0
0.144043,0.245117,1.057617,-12.987805,-20.060976,-31.768293,0.0,0.0,0.0
0.138672,0.261719,1.048828,-13.47561,-19.085367,-33.780487,0.0,0.0,0.0
0.138672,0.250977,1.068848,-11.463415,-18.04878,-37.195122,0.0,0.0,0.0
0.158203,0.21875,1.090332,-10.670732,-17.073172,-40.609756,0.0,0.0,0.0
0.164062,0.180664,1.079102,-12.682927,-15.182927,-41.402439,0.0,0.0,0.0
0.175781,0.169922,1.068359,-15.0,-13.963415,-41.829269,0.0,0.0,0.0
0.171875,0.16748,1.04834,-17.256098,-13.658537,-41.341465,0.0,0.0,0.0
0.178711,0.166992,1.047852,-19.512196,-14.207317,-41.402439,0.0,0.0,0.0
0.183594,0.17041,1.052734,-20.243902,-14.207317,-41.829269,0.0,0.0,0.0
0.181641,0.169434,1.055664,-20.487804,-13.902439,-43.170734,0.0,0.0,0.0
0.17041,0.163086,1.054688,-18.841463,-12.195122,-44.7561,0.0,0.0,0.0
0.178223,0.144043,1.093262,-12.256098,-9.45122,-48.048782,0.0,0.0,0.0
0.189453,0.115234,1.097168,-9.02439,-5.670732,-49.939026,0.0,0.0,0.0
0.193848,0.084961,1.069336,-5.97561,-1.463415,-50.609756,0.0,0.0,0.0
0.199707,0.067871,1.036133,-5.731708,0.853659,-50.914635,0.0,0.0,0.0
0.195801,0.037598,0.991699,-6.646342,1.707317,-49.573174,0.0,0.0,0.0
0.193848,0.013672,0.955078,-8.353659,0.365854,-48.475613,0.0,0.0,0.0
0.198242,-0.018066,0.972168,-7.134147,-1.829268,-47.134148,0.0,0.0,0.0
0.215332,-0.062012,1.01123,-7.073171,-2.439024,-44.512196,0.0,0.0,0.0
0.211426,-0.087402,1.008301,-9.390244,-1.768293,-39.573174,0.0,0.0,0.0
0.211914,-0.094238,0.991699,-11.52439,-1.646341,-34.512196,0.0,0.0,0.0
0.206543,-0.08252,0.980957,-12.743903,-1.768293,-29.207317,0.0,0.0,0.0
0.204102,-0.077148,0.974609,-12.073171,-2.073171,-26.097561,0.0,0.0,0.0
0.199219,-0.076172,0.975586,-10.670732,-1.95122,-23.170732,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
