0.122070,-0.065918,1.020020,0.000000,-3.719512,6.890244,0.000000.1,0.000000.2,0.000000.3
0.114258,-0.075195,1.04248,-0.609756,-3.231707,7.012195,0.0,0.0,0.0
0.125488,-0.093262,1.047852,-2.073171,-1.95122,7.195122,0.0,0.0,0.0
0.12207,-0.102051,1.050781,-1.829268,-0.792683,8.658537,0.0,0.0,0.0
0.114258,-0.097168,1.046875,-1.52439,0.0,9.939025,0.0,0.0,0.0
0.103027,-0.099609,1.054688,-1.768293,-0.426829,10.853659,0.0,0.0,0.0
0.092285,-0.10498,1.07373,-1.402439,-0.609756,12.256098,0.0,0.0,0.0
0.096191,-0.106445,1.096191,-1.707317,-0.792683,13.658537,0.0,0.0,0.0
0.090332,-0.092285,1.126465,-1.219512,-0.060976,14.817074,0.0,0.0,0.0
0.08252,-0.07959,1.148926,-2.378049,1.402439,15.853659,0.0,0.0,0.0
0.083984,-0.069336,1.163574,-3.231707,3.109756,16.829269,0.0,0.0,0.0
0.078125,-0.071289,1.187988,-4.085366,4.268293,17.012196,0.0,0.0,0.0
0.067871,-0.064453,1.200195,-4.085366,6.890244,17.743902,0.0,0.0,0.0
0.046387,-0.060547,1.213379,-3.292683,9.390244,17.92683,0.0,0.0,0.0
0.038086,-0.072266,1.197754,-2.073171,12.439025,18.353659,0.0,0.0,0.0
0.036133,-0.081543,1.210938,3.292683,13.536586,18.841463,0.0,0.0,0.0
0.014648,-0.066895,1.287109,6.646342,14.573171,20.609756,0.0,0.0,0.0
0.016113,-0.041504,1.34375,9.756098,17.621952,21.219513,0.0,0.0,0.0
0.016113,-0.020996,1.401855,10.97561,21.95122,22.195122,0.0,0.0,0.0
0.031738,0.01123,1.393555,10.243902,26.646341,22.92683,0.0,0.0,0.0
0.01709,0.062012,1.473633,11.95122,29.756098,21.646341,0.0,0.0,0.0
0.041504,0.075195,1.53125,12.682927,36.402439,19.756098,0.0,0.0,0.0
0.05127,0.079102,1.609375,13.353659,43.658539,19.45122,0.0,0.0,0.0
0.084961,0.116699,1.664551,16.036585,53.231709,19.512196,0.0,0.0,0.0
0.096191,0.153809,1.6875,18.536585,64.451218,19.939024,0.0,0.0,0.0
0.093262,0.242676,1.679199,22.865854,76.463417,19.817074,0.0,0.0,0.0
0.115234,0.365234,1.681152,24.146341,87.195122,19.634148,0.0,0.0,0.0
0.098633,0.474121,1.652344,22.804878,99.329269,15.731708,0.0,0.0,0.0
0.087891,0.588379,1.588379,17.073172,109.268295,9.207317,0.0,0.0,0.0
0.068848,0.700684,1.496582,10.121951,118.048782,-0.304878,0.0,0.0,0.0
0.047363,0.793945,1.40918,1.52439,126.402443,-16.036585,0.0,0.0,0.0
0.05127,0.8125,1.325195,-4.573171,133.963425,-33.292683,0.0,0.0,0.0
0.069336,0.765625,1.191895,-9.02439,141.585373,-50.975613,0.0,0.0,0.0
0.089844,0.699707,1.075195,-11.707317,147.439026,-67.926834,0.0,0.0,0.0
0.118652,0.60791,0.897461,-12.804878,150.853668,-79.146347,0.0,0.0,0.0
0.134277,0.563477,0.738281,-11.097561,149.756104,-88.658539,0.0,0.0,0.0
0.145508,0.536621,0.641113,-11.768293,145.670731,-96.829269,0.0,0.0,0.0
0.175781,0.483887,0.549316,-12.682927,140.548782,-105.18293,0.0,0.0,0.0
0.19873,0.408203,0.454102,-15.426829,134.634155,-111.097565,0.0,0.0,0.0
