0.090332,0.187988,1.004883,-0.731707,-2.134146,-0.731707.1,0.000000,0.000000.1,0.000000.2
0.081055,0.20166,1.12207,-1.646341,-7.012195,-36.158539,0.0,0.0,0.0
0.083008,0.197754,1.116211,-1.097561,-4.634146,-35.304878,0.0,0.0,0.0
0.077148,0.162598,1.086914,-2.378049,-2.195122,-34.451221,0.0,0.0,0.0
0.091309,0.121582,1.065918,-0.243902,0.609756,-32.07317,0.0,0.0,0.0
0.097656,0.106934,1.062012,0.182927,1.768293,-29.939026,0.0,0.0,0.0
0.100098,0.09082,1.04248,0.792683,3.536585,-26.219513,0.0,0.0,0.0
0.097168,0.089355,1.016113,0.060976,5.0,-22.439024,0.0,0.0,0.0
0.101562,0.081543,0.986328,-1.341463,5.243903,-18.597561,0.0,0.0,0.0
0.104004,0.07666,0.972656,-2.134146,4.939024,-14.268293,0.0,0.0,0.0
0.095215,0.087891,0.962402,-2.621951,4.878049,-10.182927,0.0,0.0,0.0
0.089844,0.116699,0.957031,-3.658537,5.54878,-6.95122,0.0,0.0,0.0
0.085449,0.13916,0.930176,-4.573171,5.54878,-4.817073,0.0,0.0,0.0
0.078125,0.164551,0.914062,-6.036585,5.426829,-3.292683,0.0,0.0,0.0
0.079102,0.180664,0.892578,-6.768293,4.756098,-2.378049,0.0,0.0,0.0
0.079102,0.190918,0.901367,-7.560976,3.170732,-2.073171,0.0,0.0,0.0
0.08252,0.183594,0.912109,-7.621952,3.292683,-1.341463,0.0,0.0,0.0
0.088379,0.186523,0.882324,-5.182927,3.04878,0.304878,0.0,0.0,0.0
0.084473,0.195801,0.876953,-3.47561,0.609756,2.134146,0.0,0.0,0.0
0.083496,0.21582,0.919922,-3.414634,-1.52439,4.268293,0.0,0.0,0.0
0.077148,0.237793,0.94873,-4.817073,-2.073171,5.97561,0.0,0.0,0.0
0.07959,0.258301,0.956543,-6.341464,-1.768293,7.621952,0.0,0.0,0.0
0.080566,0.296875,0.950684,-8.658537,-1.52439,9.02439,0.0,0.0,0.0
0.075684,0.324219,0.943848,-8.719512,-1.463415,8.841464,0.0,0.0,0.0
0.066406,0.362305,0.940918,-9.085366,-2.012195,7.804878,0.0,0.0,0.0
0.068359,0.393555,0.934082,-9.085366,-2.439024,6.219512,0.0,0.0,0.0
0.066895,0.404297,0.957031,-9.634147,-3.414634,3.414634,0.0,0.0,0.0
0.073242,0.38916,0.959473,-8.231708,-2.439024,0.365854,0.0,0.0,0.0
0.069824,0.367676,0.950195,-6.158537,-2.012195,-2.256098,0.0,0.0,0.0
0.072266,0.341797,0.955078,-3.47561,-2.073171,-3.231707,0.0,0.0,0.0
0.083984,0.323242,0.969727,-1.95122,-1.890244,-3.536585,0.0,0.0,0.0
0.084473,0.304199,0.970703,-1.52439,-1.707317,-2.987805,0.0,0.0,0.0
0.083496,0.300293,0.981934,-1.890244,-1.158537,-0.853659,0.0,0.0,0.0
0.088867,0.308105,0.975586,-1.768293,-0.853659,0.426829,0.0,0.0,0.0
0.091797,0.324219,0.964355,-2.317073,-0.609756,1.585366,0.0,0.0,0.0
0.078613,0.348633,0.970703,-3.170732,-1.219512,2.012195,0.0,0.0,0.0
0.083008,0.352539,0.985352,-2.987805,-1.158537,1.280488,0.0,0.0,0.0
0.089355,0.352539,0.986328,-1.95122,-0.121951,0.487805,0.0,0.0,0.0
0.078613,0.370605,0.96582,-0.670732,0.670732,-0.670732,0.0,0.0,0.0
0.084961,0.358887,0.966797,0.121951,0.853659,-2.987805,0.0,0.0,0.0
0.081055,0.336914,0.964844,0.609756,1.280488,-3.719512,0.0,0.0,0.0
0.086914,0.321777,0.959473,1.402439,1.768293,-4.329268,0.0,0.0,0.0
0.084473,0.306152,0.946777,1.463415,1.52439,-4.45122,0.0,0.0,0.0
0.083984,0.296875,0.944336,1.219512,0.731707,-4.390244,0.0,0.0,0.0
0.088379,0.281738,0.95166,0.731707,0.609756,-3.414634,0.0,0.0,0.0
0.094238,0.278809,0.94873,-0.365854,0.792683,-2.012195,0.0,0.0,0.0
0.086914,0.28125,0.952148,-0.487805,0.97561,-1.52439,0.0,0.0,0.0
0.077637,0.279785,0.943359,-0.182927,1.097561,-0.853659,0.0,0.0,0.0
0.087402,0.275879,0.939941,0.060976,1.097561,-0.548781,0.0,0.0,0.0
0.077637,0.28418,0.925781,0.914634,1.463415,0.243902,0.0,0.0,0.0
0.07959,0.280273,0.916504,1.097561,0.97561,-0.304878,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
