2.000000,2.000000.1,4.858643,1.646341,3728.109863,3836.524414,0.000000,0.000000.1,0.000000.2
2.0,2.0,4.840576,3994.878174,3725.914795,3836.768311,0.0,0.0,0.0
2.0,2.0,4.832275,3993.292725,3723.231689,3836.036621,0.0,0.0,0.0
2.0,2.0,4.843262,3993.902588,3721.341553,3836.097656,0.0,0.0,0.0
2.0,2.0,4.856201,3995.731689,3720.731689,3836.158691,0.0,0.0,0.0
2.0,2.0,4.858398,1.280488,3719.939209,3836.036621,0.0,0.0,0.0
2.0,2.0,4.861816,1.280488,3718.963623,3836.585449,0.0,0.0,0.0
2.0,2.0,4.873047,1.402439,3718.231689,3837.317139,0.0,0.0,0.0
2.0,2.0,4.872559,0.914634,3717.378174,3838.35376,0.0,0.0,0.0
2.0,2.0,4.859619,3995.670898,3716.70752,3839.634277,0.0,0.0,0.0
2.0,2.0,4.845947,3995.183105,3715.609863,3840.243896,0.0,0.0,0.0
2.0,2.0,4.862793,3995.365967,3713.780518,3840.183105,0.0,0.0,0.0
2.0,2.0,4.899902,0.304878,3712.256104,3839.817139,0.0,0.0,0.0
2.0,2.0,4.912354,0.243902,3712.378174,3839.390381,0.0,0.0,0.0
2.0,2.0,4.919434,3993.536621,3711.768311,3838.170898,0.0,0.0,0.0
2.0,2.0,4.93042,3991.341553,3710.792725,3837.439209,0.0,0.0,0.0
2.0,2.0,4.950928,3990.670898,3710.85376,3837.134277,0.0,0.0,0.0
2.0,2.0,4.966064,3991.219727,3711.463379,3836.951416,0.0,0.0,0.0
2.0,2.0,4.958984,3991.219727,3712.927002,3837.073242,0.0,0.0,0.0
2.0,2.0,4.962158,3991.524414,3713.292725,3836.70752,0.0,0.0,0.0
2.0,2.0,4.959229,3991.585449,3713.475586,3836.524414,0.0,0.0,0.0
2.0,2.0,4.969727,3991.280518,3713.963623,3836.890381,0.0,0.0,0.0
2.0,2.0,4.955566,3990.12207,3713.780518,3837.5,0.0,0.0,0.0
2.0,2.0,4.969482,3988.719727,3712.927002,3837.865967,0.0,0.0,0.0
2.0,2.0,4.988525,3986.829346,3712.683105,3838.292725,0.0,0.0,0.0
2.0,2.0,4.998047,3985.914795,3712.62207,3839.024414,0.0,0.0,0.0
2.0,2.0,1.016113,3987.317139,3713.170898,3839.024414,0.0,0.0,0.0
2.0,2.0,1.018066,3988.170898,3715.243896,3839.695312,0.0,0.0,0.0
2.0,2.0,1.006348,3991.036621,3717.012207,3839.756104,0.0,0.0,0.0
2.0,2.0,1.001221,3992.683105,3717.987793,3839.756104,0.0,0.0,0.0
2.0,2.0,4.982178,3993.109863,3719.085449,3840.0,0.0,0.0,0.0
2.0,2.0,4.975098,3993.719727,3719.512207,3839.573242,0.0,0.0,0.0
2.0,2.0,4.942139,3994.329346,3719.817139,3839.573242,0.0,0.0,0.0
2.0,2.0,4.927734,3995.792725,3718.780518,3839.20752,0.0,0.0,0.0
2.0,2.0,4.938477,0.731707,3717.195312,3838.841553,0.0,0.0,0.0
2.0,2.0,4.958984,0.97561,3715.85376,3837.865967,0.0,0.0,0.0
2.0,2.0,4.972168,0.97561,3715.975586,3837.073242,0.0,0.0,0.0
2.0,2.0,4.973389,1.097561,3717.195312,3836.585449,0.0,0.0,0.0
2.0,2.0,4.967529,1.158537,3718.231689,3837.012207,0.0,0.0,0.0
2.0,2.0,4.966309,1.280488,3717.987793,3837.195312,0.0,0.0,0.0
2.0,2.0,4.965088,1.646341,3718.35376,3837.561035,0.0,0.0,0.0
2.0,2.0,4.963135,2.134146,3718.658691,3837.987793,0.0,0.0,0.0
2.0,2.0,4.970459,2.621951,3718.963623,3838.597656,0.0,0.0,0.0
2.0,2.0,4.959229,3.04878,3719.695312,3838.109863,0.0,0.0,0.0
2.0,2.0,4.932617,2.682927,3720.12207,3837.865967,0.0,0.0,0.0
2.0,2.0,4.916504,1.768293,3719.390381,3836.585449,0.0,0.0,0.0
2.0,2.0,4.927002,0.97561,3718.536621,3835.670898,0.0,0.0,0.0
2.0,2.0,4.929443,1.219512,3718.048828,3834.451416,0.0,0.0,0.0
