-1.743159999999999987e-01,2.241209999999999869e-01,9.462890000000000468e-01,0.000000000000000000e+00,-2.012195000000000178e+00,1.219510000000000038e-01,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
0.259766,0.536133,1.500977,2.012195,-97.5,-24.268293,0.0,0.0,0.0
0.259766,0.542969,1.591309,3.231707,-91.280487,-28.780489,0.0,0.0,0.0
0.257812,0.54834,1.67334,3.414634,-81.158539,-34.634148,0.0,0.0,0.0
0.241699,0.493164,1.677734,1.402439,-68.963417,-40.731709,0.0,0.0,0.0
0.271484,0.513672,1.681152,0.243902,-57.92683,-46.097561,0.0,0.0,0.0
0.243652,0.486328,1.62793,1.280488,-46.097561,-52.92683,0.0,0.0,0.0
0.246094,0.435059,1.583008,-1.707317,-38.353661,-57.378052,0.0,0.0,0.0
0.241211,0.369141,1.559082,1.097561,-32.682926,-61.036587,0.0,0.0,0.0
0.227539,0.330566,1.55957,5.243903,-26.463415,-63.536587,0.0,0.0,0.0
0.22998,0.294922,1.567871,8.780488,-20.182928,-65.243904,0.0,0.0,0.0
0.219238,0.242676,1.601562,10.0,-12.073171,-67.134148,0.0,0.0,0.0
0.211426,0.202637,1.602051,9.390244,-4.573171,-67.926834,0.0,0.0,0.0
0.208008,0.174805,1.575195,8.292683,4.146341,-67.987808,0.0,0.0,0.0
0.203125,0.126465,1.528809,8.231708,12.195122,-67.560974,0.0,0.0,0.0
0.208008,0.086914,1.480469,9.02439,18.597561,-66.036591,0.0,0.0,0.0
0.208008,0.072754,1.441895,10.365854,23.963415,-63.536587,0.0,0.0,0.0
0.202148,0.055176,1.393555,13.658537,28.170732,-61.158539,0.0,0.0,0.0
0.199707,0.072266,1.38623,15.0,31.036587,-58.414635,0.0,0.0,0.0
0.192383,0.064453,1.421387,16.036585,34.57317,-56.158539,0.0,0.0,0.0
0.185059,0.068359,1.443359,15.365854,40.975609,-54.207317,0.0,0.0,0.0
0.179199,0.052734,1.428223,13.47561,48.780487,-51.707317,0.0,0.0,0.0
0.17334,0.044434,1.387207,11.52439,56.158539,-49.268295,0.0,0.0,0.0
0.164551,0.062012,1.344238,10.243902,62.439026,-47.073174,0.0,0.0,0.0
0.15918,0.068359,1.268555,8.963415,68.292686,-45.121952,0.0,0.0,0.0
