-1.611329999999999985e-01,2.915039999999999853e-01,9.750980000000000203e-01,0.000000000000000000e+00,2.439020000000000077e-01,-1.158536999999999928e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3
-0.056641,0.07666,0.577637,9.329268,-48.780487,6.097561,0.0,0.0,0.0
-0.056152,0.002441,0.575684,12.439025,-57.987804,10.304878,0.0,0.0,0.0
-0.04248,-0.047363,0.639648,16.707317,-67.195122,17.256098,0.0,0.0,0.0
-0.02832,-0.040039,0.729004,15.97561,-71.768295,23.719513,0.0,0.0,0.0
-0.003906,-0.040039,0.770508,10.243902,-74.390244,30.060976,0.0,0.0,0.0
0.005371,-0.074219,0.80127,5.365854,-76.585365,35.975609,0.0,0.0,0.0
0.051758,-0.080566,0.849121,6.402439,-85.731712,42.987804,0.0,0.0,0.0
0.053223,-0.062012,0.897461,-4.45122,-78.719513,49.878052,0.0,0.0,0.0
0.072266,-0.013184,0.96582,-11.341464,-78.902443,54.390244,0.0,0.0,0.0
0.080566,-0.004395,1.003906,-18.414635,-75.670731,58.109756,0.0,0.0,0.0
0.088867,-0.043945,1.003906,-19.390244,-73.170731,61.280491,0.0,0.0,0.0
0.10791,-0.072266,1.015625,-17.256098,-71.951218,66.890244,0.0,0.0,0.0
0.138672,-0.050781,1.038086,-15.487805,-70.548782,74.390244,0.0,0.0,0.0
0.141602,-0.016113,1.062988,-17.439024,-70.792686,79.573174,0.0,0.0,0.0
0.145996,0.019043,1.126465,-22.560976,-70.853661,83.902443,0.0,0.0,0.0
0.144531,0.029785,1.201172,-28.04878,-68.231712,89.207321,0.0,0.0,0.0
0.141113,0.054688,1.275879,-29.817074,-63.353661,95.060974,0.0,0.0,0.0
0.131836,0.160156,1.374023,-32.378048,-57.012196,99.207321,0.0,0.0,0.0
0.126465,0.242188,1.42627,-40.365856,-47.134148,99.878052,0.0,0.0,0.0
0.132812,0.293457,1.39209,-46.829269,-37.195122,99.146347,0.0,0.0,0.0
0.131836,0.321777,1.338379,-47.073174,-31.402439,97.68293,0.0,0.0,0.0
0.143066,0.321777,1.265137,-39.146343,-27.743902,96.524391,0.0,0.0,0.0
0.140625,0.40918,1.254395,-25.54878,-27.560976,95.914635,0.0,0.0,0.0
0.143066,0.469727,1.331055,-13.109756,-28.04878,93.170731,0.0,0.0,0.0
0.144043,0.578613,1.460449,-4.878049,-26.036587,89.024391,0.0,0.0,0.0
0.129395,0.658691,1.618652,-2.621951,-19.87805,81.646347,0.0,0.0,0.0
0.133789,0.67627,1.758301,-1.52439,-6.585366,72.560974,0.0,0.0,0.0
0.136719,0.705078,1.806641,-4.756098,9.146341,64.329269,0.0,0.0,0.0
0.166504,0.713379,1.771973,-11.158537,24.817074,55.487804,0.0,0.0,0.0
0.200684,0.66748,1.664062,-16.341463,39.573174,47.2561,0.0,0.0,0.0
0.229004,0.653809,1.54834,-16.280489,47.865856,40.914635,0.0,0.0,0.0
0.251465,0.665039,1.468262,-13.47561,52.378052,34.817074,0.0,0.0,0.0
0.270996,0.661133,1.425293,-7.317073,54.390244,27.987806,0.0,0.0,0.0
0.279297,0.648926,1.423828,2.804878,55.853661,19.939024,0.0,0.0,0.0
0.295898,0.631836,1.460938,9.756098,57.560978,14.634147,0.0,0.0,0.0
0.293945,0.626465,1.512695,13.658537,62.378052,7.804878,0.0,0.0,0.0
0.289551,0.622559,1.556641,11.280488,67.621956,2.012195,0.0,0.0,0.0
0.28418,0.587891,1.57959,8.109756,76.890244,-4.878049,0.0,0.0,0.0
0.277832,0.556152,1.57959,5.060976,86.768295,-10.609756,0.0,0.0,0.0
0.266602,0.544434,1.529297,-0.792683,99.085365,-16.707317,0.0,0.0,0.0
0.272461,0.540039,1.393066,-8.536586,108.963417,-22.560976,0.0,0.0,0.0
0.262207,0.447266,1.232422,-9.878049,114.451225,-28.353659,0.0,0.0,0.0
0.24707,0.370117,1.065918,-5.0,115.853661,-31.768293,0.0,0.0,0.0
0.204102,0.320312,0.950684,4.207317,112.987808,-33.292683,0.0,0.0,0.0
0.16748,0.272949,0.900391,12.804878,109.268295,-33.963417,0.0,0.0,0.0
0.135254,0.255859,0.865234,19.817074,104.878052,-33.902439,0.0,0.0,0.0
0.109375,0.224121,0.841797,24.085367,100.243904,-33.475609,0.0,0.0,0.0
0.081055,0.20459,0.827148,25.243902,96.707321,-32.2561,0.0,0.0,0.0
0.04834,0.189453,0.812988,24.512196,92.68293,-30.670732,0.0,0.0,0.0
0.039062,0.200195,0.833496,25.42683,89.329269,-28.292683,0.0,0.0,0.0
0.022949,0.200684,0.842285,22.987806,88.231712,-26.280489,0.0,0.0,0.0
0.018066,0.208984,0.803223,19.390244,87.012199,-24.512196,0.0,0.0,0.0
0.001953,0.219238,0.728516,14.817074,84.573174,-23.170732,0.0,0.0,0.0
-0.016602,0.202148,0.656738,11.280488,78.841469,-21.829269,0.0,0.0,0.0
-0.027344,0.186035,0.622559,11.341464,73.658539,-20.670732,0.0,0.0,0.0
-0.036621,0.181152,0.617676,12.256098,69.268295,-18.04878,0.0,0.0,0.0
-0.065918,0.213379,0.635742,15.853659,61.158539,-16.646341,0.0,0.0,0.0
-0.086914,0.238281,0.685059,16.646341,56.097561,-16.890244,0.0,0.0,0.0
-0.105469,0.241699,0.706543,14.207317,54.085365,-17.804878,0.0,0.0,0.0
-0.110352,0.228516,0.700195,11.646341,53.902439,-18.536585,0.0,0.0,0.0
-0.11377,0.229004,0.649902,8.658537,52.621952,-18.963415,0.0,0.0,0.0
-0.11377,0.223145,0.604004,5.304878,50.243904,-19.45122,0.0,0.0,0.0
-0.112305,0.198242,0.588867,1.768293,47.743904,-19.390244,0.0,0.0,0.0
-0.086914,0.17627,0.521484,-0.182927,45.792683,-18.597561,0.0,0.0,0.0
-0.10791,0.196777,0.464355,-4.939024,45.365856,-18.231709,0.0,0.0,0.0
-0.106934,0.20166,0.487305,-0.609756,31.463415,-18.292683,0.0,0.0,0.0
-0.108398,0.172852,0.543457,-2.012195,25.42683,-19.329269,0.0,0.0,0.0
-0.12207,0.142578,0.570801,-4.817073,21.829269,-19.939024,0.0,0.0,0.0
-0.131836,0.10498,0.571289,-6.280488,18.963415,-19.634148,0.0,0.0,0.0
-0.138672,0.067871,0.5625,-7.256098,15.609756,-17.987804,0.0,0.0,0.0
-0.148926,0.06543,0.547363,-9.207317,11.097561,-16.158537,0.0,0.0,0.0
-0.163086,0.058594,0.54248,-11.036586,5.914634,-13.902439,0.0,0.0,0.0
-0.182129,0.053223,0.558105,-12.5,-0.548781,-11.158537,0.0,0.0,0.0
-0.189453,0.041016,0.592773,-10.121951,-5.426829,-7.378049,0.0,0.0,0.0
-0.208496,0.065918,0.627441,-8.47561,-10.731708,-2.621951,0.0,0.0,0.0
-0.22998,0.112305,0.655273,-8.170732,-15.243903,0.609756,0.0,0.0,0.0
-0.25,0.165527,0.694336,-9.45122,-19.390244,2.621951,0.0,0.0,0.0
-0.269043,0.173828,0.755859,-10.304878,-22.560976,3.658537,0.0,0.0,0.0
-0.276367,0.177734,0.828613,-9.695122,-23.04878,4.695122,0.0,0.0,0.0
-0.293945,0.185547,0.864746,-8.414635,-22.317074,5.914634,0.0,0.0,0.0
-0.288086,0.226562,0.856445,-8.292683,-21.463415,6.158537,0.0,0.0,0.0
-0.30127,0.257812,0.836426,-10.243902,-22.195122,5.792683,0.0,0.0,0.0
-0.307617,0.24707,0.842773,-11.463415,-25.0,3.902439,0.0,0.0,0.0
-0.300293,0.208496,0.868652,-8.902439,-27.317074,2.682927,0.0,0.0,0.0
-0.293945,0.163574,0.908691,-3.780488,-29.146341,3.292683,0.0,0.0,0.0
-0.282715,0.163574,0.942383,1.280488,-30.853659,5.121951,0.0,0.0,0.0
-0.269043,0.161621,0.979004,6.829268,-35.121952,6.829268,0.0,0.0,0.0
-0.262207,0.148926,1.008301,6.707317,-34.451221,8.658537,0.0,0.0,0.0
-0.249023,0.170898,1.064453,2.926829,-29.085367,10.792684,0.0,0.0,0.0
-0.233398,0.199219,1.093262,1.646341,-26.829269,12.378049,0.0,0.0,0.0
-0.223145,0.241211,1.09668,-1.95122,-24.207317,13.04878,0.0,0.0,0.0
-0.222168,0.317871,1.060547,-8.292683,-21.768293,11.890244,0.0,0.0,0.0
-0.229492,0.317383,1.032227,-12.926829,-21.95122,7.378049,0.0,0.0,0.0
-0.21875,0.279785,1.071777,-8.902439,-22.012196,4.390244,0.0,0.0,0.0
-0.216797,0.262695,1.097168,-3.109756,-19.756098,2.682927,0.0,0.0,0.0
-0.202637,0.251465,1.078613,1.829268,-17.195122,1.646341,0.0,0.0,0.0
-0.19873,0.240723,1.084961,2.987805,-15.97561,0.670732,0.0,0.0,0.0
-0.192871,0.240723,1.102051,1.829268,-14.756098,0.487805,0.0,0.0,0.0
-0.188965,0.225586,1.104004,2.012195,-12.926829,0.914634,0.0,0.0,0.0
-0.195801,0.233398,1.100098,1.768293,-11.219512,1.158537,0.0,0.0,0.0
-0.192871,0.240234,1.103516,0.0,-9.512196,1.097561,0.0,0.0,0.0
-0.193359,0.245605,1.106445,-2.195122,-6.768293,1.158537,0.0,0.0,0.0
-0.19873,0.249023,1.081055,-4.878049,-4.695122,1.585366,0.0,0.0,0.0
-0.200684,0.260254,1.036133,-5.670732,-3.231707,1.646341,0.0,0.0,0.0
-0.206055,0.262695,1.008789,-5.121951,-3.353659,0.548781,0.0,0.0,0.0
-0.209961,0.253418,1.003906,-3.170732,-3.47561,-0.548781,0.0,0.0,0.0
-0.203613,0.247559,1.001953,-0.609756,-2.865854,-0.792683,0.0,0.0,0.0
-0.196289,0.247559,0.989746,1.280488,-2.926829,-1.158537,0.0,0.0,0.0
-0.205078,0.254883,0.985352,1.95122,-3.231707,-2.012195,0.0,0.0,0.0
-0.205078,0.240234,1.000977,4.390244,-3.231707,-3.109756,0.0,0.0,0.0
-0.197266,0.219727,1.003906,5.97561,-2.256098,-3.719512,0.0,0.0,0.0
-0.187012,0.214355,0.996094,8.109756,-1.52439,-3.353659,0.0,0.0,0.0
-0.194336,0.226562,0.996582,8.780488,-1.341463,-2.926829,0.0,0.0,0.0
-0.191406,0.202148,1.02002,8.841464,-0.792683,-2.987805,0.0,0.0,0.0
-0.182129,0.187988,1.020508,7.682927,0.792683,-2.195122,0.0,0.0,0.0
-0.18457,0.222168,0.96875,4.939024,1.95122,-0.548781,0.0,0.0,0.0
-0.185059,0.200684,0.958008,2.378049,0.853659,-0.365854,0.0,0.0,0.0
-0.18457,0.178711,0.984863,0.243902,-0.121951,0.609756,0.0,0.0,0.0
-0.179688,0.188477,0.978027,-0.121951,0.609756,2.439024,0.0,0.0,0.0
-0.1875,0.238281,0.94873,-1.890244,0.731707,3.231707,0.0,0.0,0.0
-0.195312,0.229492,0.94873,-2.560976,0.060976,2.5,0.0,0.0,0.0
-0.188477,0.223633,0.960938,-1.52439,0.0,2.439024,0.0,0.0,0.0
-0.187988,0.221191,0.950195,0.243902,0.97561,1.829268,0.0,0.0,0.0
-0.185547,0.222168,0.918457,2.073171,0.243902,1.829268,0.0,0.0,0.0
-0.186035,0.208496,0.915039,3.170732,-0.426829,1.646341,0.0,0.0,0.0
-0.182129,0.21582,0.908691,3.536585,-1.158537,2.378049,0.0,0.0,0.0
-0.189941,0.237793,0.918945,2.560976,-2.926829,2.378049,0.0,0.0,0.0
-0.182617,0.231445,0.958984,2.439024,-3.597561,2.134146,0.0,0.0,0.0
-0.186523,0.233398,0.965332,1.646341,-2.743902,2.073171,0.0,0.0,0.0
-0.181152,0.243164,0.961426,0.121951,-1.95122,2.073171,0.0,0.0,0.0
-0.184082,0.233887,0.953125,0.0,-1.463415,1.646341,0.0,0.0,0.0
-0.17627,0.233887,0.94043,-0.243902,-1.341463,1.95122,0.0,0.0,0.0
-0.169922,0.239258,0.915527,0.060976,-1.890244,1.585366,0.0,0.0,0.0
-0.171875,0.230957,0.904785,1.280488,-2.743902,1.219512,0.0,0.0,0.0
-0.166016,0.221191,0.923828,3.597561,-4.817073,1.280488,0.0,0.0,0.0
-0.157715,0.251953,0.963379,4.146341,-5.426829,1.402439,0.0,0.0,0.0
-0.173828,0.258301,0.970215,3.963415,-5.731708,0.914634,0.0,0.0,0.0
-0.169434,0.243652,1.004883,3.780488,-6.036585,-0.365854,0.0,0.0,0.0
-0.165527,0.228516,1.011719,4.45122,-3.902439,-0.609756,0.0,0.0,0.0
-0.166992,0.25293,0.99707,4.207317,-2.439024,-0.548781,0.0,0.0,0.0
-0.175781,0.239258,0.986328,3.841464,-1.95122,-1.097561,0.0,0.0,0.0
-0.17041,0.214844,0.991211,3.658537,-1.585366,-0.914634,0.0,0.0,0.0
-0.168945,0.226074,0.973633,3.658537,-1.341463,-0.182927,0.0,0.0,0.0
-0.171875,0.241699,0.974609,3.231707,-2.073171,0.0,0.0,0.0,0.0
-0.168945,0.236816,0.99707,1.402439,-2.134146,0.121951,0.0,0.0,0.0
-0.174805,0.22168,0.999023,0.304878,-1.158537,0.426829,0.0,0.0,0.0
-0.176758,0.221191,0.995117,-0.060976,-0.060976,0.670732,0.0,0.0,0.0
-0.174805,0.245605,0.963867,-0.731707,0.548781,0.670732,0.0,0.0,0.0
-0.184082,0.247559,0.959473,-1.036585,-0.060976,0.304878,0.0,0.0,0.0
-0.17334,0.231934,0.970703,0.304878,-0.487805,-0.243902,0.0,0.0,0.0
-0.17334,0.234863,0.970703,2.743902,-0.182927,0.060976,0.0,0.0,0.0
-0.172852,0.251953,0.95459,3.231707,-0.121951,0.060976,0.0,0.0,0.0
-0.17041,0.239258,0.951172,3.47561,-0.853659,-0.487805,0.0,0.0,0.0
-0.164062,0.240234,0.956055,3.04878,-1.036585,-0.548781,0.0,0.0,0.0
-0.168457,0.248535,0.952148,2.378049,-1.158537,-0.609756,0.0,0.0,0.0
-0.167969,0.231445,0.956543,2.987805,-2.012195,-0.97561,0.0,0.0,0.0
-0.172852,0.25,0.969238,2.987805,-1.585366,-1.219512,0.0,0.0,0.0
-0.182129,0.244141,0.976074,1.341463,-1.158537,-1.036585,0.0,0.0,0.0
-0.180664,0.23291,0.967773,1.097561,-0.609756,-1.707317,0.0,0.0,0.0
-0.17041,0.225098,0.958984,1.95122,-0.548781,-1.52439,0.0,0.0,0.0
-0.168945,0.22168,0.951172,2.621951,-0.792683,-0.609756,0.0,0.0,0.0
-0.180664,0.240234,0.944824,3.597561,-1.219512,-0.365854,0.0,0.0,0.0
-0.168457,0.227539,0.945801,1.829268,-1.646341,-0.548781,0.0,0.0,0.0
-0.172852,0.222168,0.94873,1.707317,-1.585366,0.609756,0.0,0.0,0.0
-0.17627,0.240234,0.950195,1.707317,-1.768293,0.487805,0.0,0.0,0.0
-0.168457,0.262695,0.949707,0.914634,-1.95122,0.548781,0.0,0.0,0.0
-0.171875,0.254883,0.953125,0.0,-2.378049,-0.243902,0.0,0.0,0.0
-0.172852,0.246582,0.962891,1.219512,-2.256098,-0.426829,0.0,0.0,0.0
-0.168457,0.252441,0.967773,1.219512,-1.463415,-0.487805,0.0,0.0,0.0
-0.170898,0.249023,0.95752,1.707317,-1.707317,-0.914634,0.0,0.0,0.0
-0.165039,0.243652,0.976562,1.768293,-1.463415,-1.463415,0.0,0.0,0.0
-0.163086,0.223633,0.974609,1.52439,-1.52439,-1.280488,0.0,0.0,0.0
-0.173828,0.224609,0.96582,1.585366,-1.158537,-0.060976,0.0,0.0,0.0
-0.161133,0.221191,0.974121,2.256098,-1.585366,0.731707,0.0,0.0,0.0
-0.169922,0.245117,0.97168,2.621951,-1.707317,1.036585,0.0,0.0,0.0
-0.165527,0.250488,0.989746,2.073171,-1.707317,0.792683,0.0,0.0,0.0
-0.168945,0.254395,0.989258,1.158537,-1.280488,0.853659,0.0,0.0,0.0
-0.170898,0.251465,1.000488,1.585366,-0.243902,0.243902,0.0,0.0,0.0
-0.167969,0.253906,0.995117,2.012195,0.914634,-0.243902,0.0,0.0,0.0
-0.178223,0.251953,0.985352,1.707317,1.829268,-0.487805,0.0,0.0,0.0
-0.166016,0.253418,0.975098,0.853659,2.195122,-0.792683,0.0,0.0,0.0
-0.171875,0.249512,0.948242,-0.609756,2.743902,-1.097561,0.0,0.0,0.0
-0.176758,0.239258,0.913574,-1.158537,2.195122,-1.036585,0.0,0.0,0.0
-0.175781,0.231445,0.921875,0.304878,0.914634,-0.97561,0.0,0.0,0.0
-0.169922,0.23877,0.92627,1.768293,-0.365854,-0.304878,0.0,0.0,0.0
-0.178223,0.24707,0.930176,1.646341,-1.158537,-0.487805,0.0,0.0,0.0
-0.177734,0.240234,0.962891,1.646341,-1.707317,-0.121951,0.0,0.0,0.0
-0.17627,0.239746,0.969727,1.158537,-0.914634,-0.487805,0.0,0.0,0.0
-0.172363,0.25,0.959961,1.280488,-0.609756,-0.487805,0.0,0.0,0.0
-0.164551,0.23877,0.966797,1.280488,-0.609756,-0.792683,0.0,0.0,0.0
-0.158203,0.244629,0.967773,1.402439,-0.121951,-0.487805,0.0,0.0,0.0
-0.15625,0.241211,0.969727,1.097561,0.060976,-0.670732,0.0,0.0,0.0
