2.000000,2.000000.1,1.043457,3968.841553,3925.365967,3855.000000,0.000000,0.000000.1,0.000000.2
2.0,2.0,1.033203,3967.561035,3926.951416,3854.817139,0.0,0.0,0.0
2.0,2.0,1.015869,3965.609863,3928.536621,3854.817139,0.0,0.0,0.0
2.0,2.0,4.985107,3964.20752,3930.914795,3855.792725,0.0,0.0,0.0
2.0,2.0,4.940186,3963.35376,3930.85376,3856.280518,0.0,0.0,0.0
2.0,2.0,4.923828,3962.865967,3929.329346,3856.768311,0.0,0.0,0.0
2.0,2.0,4.939453,3962.927002,3927.804932,3858.170898,0.0,0.0,0.0
2.0,2.0,4.946533,3964.085449,3926.951416,3860.548828,0.0,0.0,0.0
2.0,2.0,4.941895,3964.146484,3927.256104,3860.975586,0.0,0.0,0.0
2.0,2.0,4.944336,3963.048828,3927.378174,3861.524414,0.0,0.0,0.0
2.0,2.0,4.944336,3962.561035,3927.927002,3862.743896,0.0,0.0,0.0
2.0,2.0,4.933838,3961.280518,3929.024414,3864.512207,0.0,0.0,0.0
2.0,2.0,4.920166,3960.427002,3929.512207,3865.548828,0.0,0.0,0.0
2.0,2.0,4.887207,3959.20752,3929.268311,3866.280518,0.0,0.0,0.0
2.0,2.0,4.862061,3958.719482,3928.231689,3866.341553,0.0,0.0,0.0
2.0,2.0,4.853516,3958.658691,3925.243896,3866.646484,0.0,0.0,0.0
2.0,2.0,4.866455,3960.12207,3922.743896,3867.134277,0.0,0.0,0.0
2.0,2.0,4.895508,3960.85376,3920.914795,3867.134277,0.0,0.0,0.0
2.0,2.0,4.920166,3960.792725,3920.243896,3866.890381,0.0,0.0,0.0
2.0,2.0,4.926514,3960.304932,3920.609863,3867.378174,0.0,0.0,0.0
2.0,2.0,4.911865,3959.329346,3921.341553,3867.987793,0.0,0.0,0.0
2.0,2.0,4.901611,3957.743896,3921.036621,3868.841553,0.0,0.0,0.0
2.0,2.0,4.90332,3957.134277,3919.878174,3869.512207,0.0,0.0,0.0
2.0,2.0,4.906982,3958.231689,3918.109863,3868.963623,0.0,0.0,0.0
2.0,2.0,4.935303,3959.329346,3915.670898,3868.109863,0.0,0.0,0.0
2.0,2.0,4.971924,3961.70752,3915.12207,3868.170898,0.0,0.0,0.0
2.0,2.0,1.005127,3962.439209,3916.097656,3868.170898,0.0,0.0,0.0
2.0,2.0,1.018311,3961.890381,3917.378174,3868.170898,0.0,0.0,0.0
2.0,2.0,1.023682,3960.365967,3919.512207,3868.475586,0.0,0.0,0.0
2.0,2.0,1.028809,3957.987793,3921.463623,3867.987793,0.0,0.0,0.0
2.0,2.0,1.030029,3956.585449,3922.561035,3866.646484,0.0,0.0,0.0
2.0,2.0,1.02832,3957.927002,3923.719482,3864.634277,0.0,0.0,0.0
2.0,2.0,1.004639,3959.695312,3924.573242,3862.317139,0.0,0.0,0.0
