acc_X,acc_Y,acc_Z,digit
1111,1756,4847,0
1148,1813,4801,0
1167,1966,4725,0
1136,2021,4578,0
1115,1937,4550,0
1133,1801,4615,0
1146,1631,4758,0
1157,1428,4958,0
1108,1363,4808,0
1063,1336,4453,0
1078,1440,4477,0
1077,1493,4543,0
1049,1391,4454,0
1081,1329,4630,0
1119,1287,4808,0
1045,1236,4619,0
983,1101,4406,0
1006,884,4581,0
1015,620,4894,0
998,668,4816,0
981,961,4514,0
982,1016,4427,0
939,792,4434,0
880,801,4234,0
915,1040,4244,0
747,345,3984,0
653,-4,3913,0
641,-94,4116,0
577,-320,4182,0
546,-170,4068,0
521,183,3880,0
446,453,3645,0
396,547,3468,0
389,857,3533,0
288,553,3542,0
175,88,3530,0
122,426,3357,0
122,825,3226,0
43,666,3281,0
1,592,3318,0
-5,750,3333,0
-9,800,3304,0
-5,866,3356,0
-42,876,3383,0
-111,722,3282,0
-111,722,3282,0
-182,623,3264,0
-201,690,3310,0
-219,742,3357,0
-214,813,3465,0
-230,738,3531,0
-262,549,3546,0
-264,572,3484,0
-238,657,3577,0
-191,697,3771,0
-157,716,3951,0
-151,823,3985,0
-252,1092,3573,0
-301,949,3556,0
-312,821,3682,0
-275,953,3740,0
-220,1171,3806,0
-182,1301,3893,0
-164,1245,3884,0
-164,1245,3884,0
-136,915,4152,0
-106,994,4182,0
-101,1070,4109,0
-112,1024,4076,0
-113,968,4026,0
-123,942,3968,0
-146,860,3872,0
-190,822,3849,0
-145,887,3989,0
-76,1025,4077,0
-58,1005,4119,0
-83,817,4157,0
-123,687,4097,0
-78,715,4112,0
-29,863,4255,0
-66,851,4203,0
-112,868,4130,0
-129,886,4009,0
-129,937,3958,0
-150,904,4001,0
-158,947,3928,0
-158,1103,3884,0
-165,981,3891,0
-148,857,4053,0
-137,866,4148,0
-98,994,4135,0
-67,1079,4126,0
-73,1001,4106,0
-98,836,4075,0
-133,764,4007,0
-164,731,3921,0
-156,672,3982,0
-134,659,4112,0
-111,798,4118,0
-117,1021,3986,0
-118,972,3974,0
-121,896,4016,0
-161,767,4040,0
-191,659,4015,0
-205,667,3932,0
-168,777,3952,0
-95,890,4128,0
-50,888,4276,0
-32,874,4306,0
-58,831,4201,0
-91,827,4091,0
-109,873,4038,0
-147,857,3973,0
-164,832,3942,0
-149,955,4003,0
-151,970,4035,0
-180,866,4009,0
-171,820,4090,0
-203,731,4030,0
-204,742,3969,0
-172,862,3988,0
-152,863,4028,0
-162,755,4015,0
-161,709,3995,0
-156,726,4005,0
-135,799,4003,0
-105,912,4037,0
238,938,5624,0
186,801,5577,0
159,782,5510,0
127,773,5415,0
82,743,5237,0
16,685,5066,0
-79,567,4855,0
-195,434,4576,0
-278,393,4275,0
-329,413,4087,0
-334,422,4091,0
-341,348,4094,0
-363,181,4008,0
-364,137,3948,0
-361,235,3842,0
-374,254,3733,0
-415,231,3635,0
-471,248,3466,0
-522,184,3301,0
-576,112,3132,0
-634,61,3009,0
-660,0,2948,0
-654,62,2831,0
-655,160,2723,0
-688,107,2650,0
-741,-76,2541,0
-791,-211,2374,0
-816,-209,2229,0
-822,-56,2034,0
-819,18,1906,0
-826,39,1897,0
-761,310,1909,0
-663,695,2012,0
-626,951,2042,0
-617,1163,2003,0
-589,1467,1951,0
-631,1391,1750,0
-684,1240,1564,0
-672,1271,1369,0
-543,1510,1505,0
-385,1759,1896,0
-298,1823,2238,0
-255,1699,2499,0
-224,1882,2603,0
-105,2539,2498,0
49,3109,2559,0
152,3167,2853,0
188,2814,3175,0
220,2475,3454,0
263,2367,3609,0
314,2390,3727,0
375,2563,3685,0
485,2865,3536,0
610,3106,3584,0
689,2926,3843,0
685,2465,3959,0
652,2106,3934,0
692,2103,3945,0
831,2424,4011,0
951,2635,4170,0
970,2671,4184,0
961,2641,4094,0
969,2477,4209,0
1028,2251,4488,0
1047,2154,4521,0
1135,2229,4533,0
1165,2294,4464,0
1251,2637,4468,0
1307,2715,4574,0
1327,2445,4717,0
1303,2280,4943,0
1229,2070,4828,0
1123,2203,4417,0
1104,2289,4282,0
1122,2215,4442,0
1139,2213,4386,0
1174,2244,4445,0
1192,2178,4669,0
1204,2184,4698,0
1193,2242,4569,0
1244,2328,4576,0
1339,2538,4646,0
1392,2618,4779,0
1364,2304,4888,0
1316,2026,4889,0
1243,1881,4780,0
1159,1729,4456,0
1086,1593,4221,0
1077,1423,4363,0
1083,1262,4514,0
1089,1454,4399,0
1108,1580,4432,0
993,1085,4468,0
897,1153,4155,0
927,1173,4119,0
993,1115,4138,0
1038,1060,4100,0
1057,873,4229,0
1028,677,4273,0
960,673,4163,0
901,702,4055,0
806,642,3962,0
704,566,3867,0
584,581,3752,0
476,659,3455,0
412,732,3256,0
348,656,3280,0
296,612,3211,0
313,713,3235,0
341,775,3464,0
354,873,3547,0
360,989,3538,0
337,1043,3496,0
286,1016,3422,0
221,906,3399,0
143,883,3270,0
91,1017,3054,0
120,1322,3003,0
115,1420,3161,0
91,1270,3261,0
74,1218,3280,0
-27,1001,3084,0
-61,962,3076,0
-87,1012,3038,0
-78,1087,3047,0
-41,1043,3150,0
15,918,3346,0
86,924,3656,0
78,1023,3699,0
78,1023,3699,0
119,1246,3685,0
106,1408,3623,0
54,1375,3492,0
4,1373,3341,0
4,1400,3360,0
71,1434,3689,0
133,1469,3935,0
105,1483,3876,0
82,1410,3872,0
101,1382,3892,0
154,1409,3879,0
202,1406,3930,0
250,1288,4095,0
274,1149,4194,0
282,1128,4213,0
303,1269,4115,0
335,1388,4024,0
340,1426,4008,0
343,1408,4083,0
362,1412,4171,0
308,1263,4187,0
277,1152,4201,0
292,1279,4232,0
291,1365,4165,0
249,1260,4066,0
176,1153,3856,0
149,1116,3918,0
165,1126,4051,0
210,1195,4088,0
305,1389,3979,0
309,1447,4011,0
236,1293,3988,0
199,1090,3922,0
199,1090,3922,0
239,1004,3993,0
314,1176,4157,0
262,1131,4003,0
233,1095,3924,0
221,1088,3891,0
208,1024,3877,0
208,1013,3920,0
245,1080,4026,0
249,1157,4071,0
244,1158,3962,0
249,1169,3940,0
258,1292,3952,0
225,1321,3811,0
200,1224,3808,0
204,1156,3911,0
197,1036,3929,0
175,1018,3907,0
163,1089,3831,0
150,1116,3770,0
136,1140,3752,0
125,1007,3793,0
141,899,3886,0
187,1018,3989,0
226,1162,4004,0
234,1206,3921,0
270,1268,3961,0
288,1260,4082,0
270,1077,4058,0
246,883,4038,0
219,874,4045,0
216,1096,3984,0
246,1272,3944,0
224,1221,4001,0
175,1062,3978,0
121,922,3868,0
91,907,3784,0
916,972,5631,0
872,870,5448,0
780,462,5351,0
701,185,5302,0
653,90,5234,0
591,148,5075,0
490,189,4870,0
410,98,4749,0
347,99,4700,0
322,125,4625,0
299,121,4588,0
259,122,4490,0
225,107,4440,0
183,62,4327,0
160,86,4149,0
120,59,4089,0
41,-64,4044,0
-48,-131,3902,0
-119,-88,3762,0
-225,1,3530,0
-350,51,3168,0
-443,14,3041,0
-468,-12,3159,0
-528,10,3082,0
-624,-69,2751,0
-699,-143,2662,0
-764,-208,2576,0
-807,-214,2410,0
-821,-103,2267,0
-803,-83,2252,0
-805,-170,2309,0
-827,-95,2171,0
-860,118,1893,0
-869,302,1778,0
-827,472,1850,0
-798,582,1963,0
-809,686,1933,0
-840,845,1820,0
-863,993,1752,0
-880,956,1750,0
